"dt","Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_3А, РФ CPT авто Центральный ФО, руб./т, без НДС","Лом_3А, РФ CPT авто Уральский ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_3А, РФ CPT авто Южный ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_Б26 легированный (Ni 9,3%), РФ CPT, руб./т, без НДС","ГБЖ_Россия, FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","Чугун_FOB Бразилия Юг, $/т","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Чугун_FOB Россия Дальневосточные порты, $/т","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","Лом_3А, РФ FCA ж/д Кемеровская обл, руб./т, без НДС","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Чугун_CFR Западная Европа, $/т","Лом_3А, РФ FCA ж/д Челябинская обл, руб./т, без НДС","Лом_3А, РФ FCA ж/д ХМАО, руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Чугун_CFR Китай, $/т","Лом_3А, РФ FCA ж/д Самарская обл, руб./т, без НДС","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д Нижегородская обл, руб./т, без НДС","Чугун_CFR NOLA США, $/т","Лом_3А, РФ FCA ж/д Новосибирская обл, руб./т, без НДС","Лом_3А, РФ FCA ж/д Свердловская обл, руб./т, без НДС","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т"
"2015-05-18 00:00:00","5250","265","10269","10723","10454","62","","5200","65","","","264","255","263","","265","4400","","","9234","","46","5700","","9900","9386","4800","270","","1250","1750","12750","82","2600","","10539","5550","","","","288","","","4925","3850","","","","","","3376","2192","1051","23","","","",""
"2015-05-25 00:00:00","5250","263","10042","9744","10315","59","","5200","64","","","262","250","265","","265","4400","","","8990","","45","5700","","9900","9290","4800","272","","1250","1750","12750","81","2600","","10383","5550","","","","283","","","4925","3850","","","","","","2594","2192","1051","23","","","",""
"2015-06-01 00:00:00","5250","262","10075","9586","10333","62","","5200","65.5","","","258","245","265","","265","4400","","","8704","","46.5","5700","","9900","9299","4800","270","","1250","1750","12750","82","2600","","10210","5550","","","","280","","","4925","3850","","","","","","2594","1772","1170","22","","","",""
"2015-06-08 00:00:00","5150","261","10485","9540","10268","64","","5000","66.5","","","258","239","265","","265","4250","","","8833","","47.5","5550","","9400","9318","4800","272","","1250","1950","13000","83","2760","","10158","5400","","","","279","","","4838","3850","","","","","","2594","1772","1170","22","","","",""
"2015-06-15 00:00:00","5150","261","10468","8646","10225","65","","5000","69","","","258","242","265","","270","4250","","","8812","","50","5550","","9400","9319","4800","271","","1250","1950","13000","85","2760","","10156","5400","","","","279","","","4838","3850","","","","","","2594","1772","1170","22","","","",""
"2015-06-22 00:00:00","5150","257","10488","8816","10232","62","","5000","66","","","255","239","265","","270","4250","","","8867","","47","5550","","9400","9334","4800","268","","1250","1950","13000","87","2760","","10122","5400","","","","273","","","4838","3850","","","","","","2594","1772","1170","22","","","",""
"2015-06-29 00:00:00","5150","237","10482","8801","10245","61","","5000","64.5","","","236","229","265","","270","4250","","","8818","","45.5","5550","","9400","9432","4800","266","","1250","1950","13000","88","2760","","10099","5400","","","","266","","","4838","3850","","","","","","2756","1991","1180","22","","","",""
"2015-07-06 00:00:00","4150","224","10605","8805","10417","58","","4000","63.5","","","225","223","265","","248","3300","","","8877","","44.5","4550","","9050","9599","4500","259","","1180","2125","13000","87","3025","","10115","4400","","","","252","","","4108","3525","","","","","","2756","1991","1180","22","","","",""
"2015-07-13 00:00:00","4150","219","10791","8907","10682","49","","4000","57.5","","","213","212","265","","248","3300","","","8963","","38.5","4550","","9050","9943","4500","255","","1180","2125","13000","87","3025","","10072","4400","","","","240","","","4108","3525","","","","","","2756","1991","1180","22","","","",""
"2015-07-20 00:00:00","4150","201","10867","8745","10880","50","","4000","58","","","201","194","265","","231","3300","","","8993","","39","4550","","9050","10141","4500","245","","1180","2125","13000","84","3025","","10014","4400","","","","225","","","4108","3525","","","","","","2756","1991","1180","22","","","",""
"2015-07-27 00:00:00","4150","201","10996","8646","10883","52","","4000","59","","","201","203","265","","225","3300","","","8939","","40","4550","","9050","10141","4500","245","","1180","2125","13000","80","3025","","10013","4400","","","","227","","","4108","3525","","","","","","3008","2144","1093","21","","","",""
"2015-08-03 00:00:00","4150","208","11068","8896","10838","54","","4000","61.5","","","205","208","265","","218","3300","","","8830","","42.5","4550","","9050","10143","4500","240","","1180","1900","13000","79","2750","","9974","4400","","","","233","","","4108","3525","","","","","","3008","2144","1093","21","","","",""
"2015-08-10 00:00:00","4150","215","11059","8990","10840","56","","4000","63.5","","","211","208","255","","218","3300","","","8770","","43.5","4550","","8800","10087","4200","245","","1155","1900","13000","83","2750","","9934","4400","","","","240","","","4001","3300","","","","","","3008","2144","1093","21","","","",""
"2015-08-17 00:00:00","4150","211","11078","9007","10823","56","","4000","63.5","","","215","212","255","","220","3300","","","8755","","43.5","4550","","8800","10106","4200","245","","1155","1900","13000","83","2750","","9960","4400","","","","243","","","4001","3300","","","","","","3008","2144","1093","21","","","",""
"2015-08-24 00:00:00","4150","204","11010","8863","10853","56","","4000","63.5","","","210","212","250","","220","3300","","","8795","","43.5","4550","","8800","10137","4200","240","","1155","1900","13000","81","2750","","9953","4400","","","","236","","","4001","3300","","","","","","3008","2144","1093","21","","","",""
"2015-08-31 00:00:00","4150","211","11044","9086","10841","54","","4000","62.5","","","215","207","248","","220","3300","","","8862","","42","4550","","8800","10178","4200","235","","1155","1900","13000","81","2750","","10004","4400","","","","231","","","4001","3300","","","","","","2745","1910","1098","21","","","",""
"2015-09-07 00:00:00","4150","201","11159","9299","10961","56","","4000","63.5","","","200","202","236","","210","3300","","","8939","","43","4550","","8800","10233","4200","230","","1155","2000","14000","81","2900","","10232","4400","","","","220","","","4001","3300","","","","","","2745","1910","1098","21","","","",""
"2015-09-14 00:00:00","4150","184","11210","9282","10946","58","","4000","64.5","","","189","183","236","","205","3300","","","8923","","44","4550","","8800","10212","4200","210","","1155","2000","14000","81","2900","","10374","4400","","","","206","","","4001","3300","","","","","","2745","1910","1098","21","","","",""
"2015-09-21 00:00:00","4150","180","11237","9206","10949","57","","4000","64","","","188","181","236","","205","3300","","","8887","","43","4550","","8800","10201","4200","210","","1155","2000","14000","81","2900","","10411","4400","","","","202","","","4001","3300","","","","","","2745","1910","1098","21","","","",""
"2015-09-28 00:00:00","4150","170","11367","9585","10718","57","","4000","64","","","178","172","231","","198","3300","","","8969","","43","4550","","8800","10024","4200","205","","1155","2000","14000","80","2900","","10458","4400","","","","194","","","4001","3300","","","","","","2949","2018","1107","22","","","",""
"2015-10-05 00:00:00","4150","165","11357","9553","10670","55","","4000","62","","","175","165","216","","188","3300","","","9209","","41","4550","","8800","10043","4200","195","","1155","2150","14000","79","3225","","10474","4400","","","","187","","","4001","3300","","","","","","2949","2018","1107","22","","","",""
"2015-10-12 00:00:00","4375","154","11310","9574","10531","55","","4200","62","","","167","163","216","","183","3450","","","9382","","41","4750","","9100","9928","4650","190","","1155","2150","14000","80","3225","","10552","5000","","","","178","","","4335","3800","","","","","","2949","2018","1107","22","","","",""
"2015-10-19 00:00:00","4375","153","11182","9554","10400","55","","4200","62","","","159","154","205","","183","3450","","","9316","","41","4750","","9100","9746","4650","175","","1155","2150","14000","79","3225","","10620","5000","","","","170","","","4335","3800","","","","","","2949","2018","1107","22","","","",""
"2015-10-26 00:00:00","4375","154","11052","9582","10384","52","","4200","59","","","158","151","189","","173","3450","","","9354","","38.5","4750","","9100","9679","4650","180","","1155","2150","14000","78","3225","","10652","5000","","","","173","","","4335","3800","","","","","","3307","2178","1099","22","","","",""
"2015-11-02 00:00:00","4375","167","10624","9485","10008","50","","4200","58","","","164","158","189","","173","3450","","","9444","","37.5","4750","","9100","9242","4650","185","","1155","2150","14000","77","3225","","10625","5000","","","","186","","","4335","3800","","","","","","3307","2178","1099","22","","","",""
"2015-11-09 00:00:00","4375","174","10529","9195","9850","48","","4200","59.5","","","178","166","181","","173","3450","","","9236","","42.5","4750","","9000","8991","4650","185","","1155","2150","11000","76","3225","","10437","5000","","","","195","","","4335","3800","","","","","","3307","2178","1099","22","","","",""
"2015-11-16 00:00:00","4375","182","10142","8938","9541","48","","4200","57.5","","","180","175","181","","173","3450","","","9053","","40.5","4750","","9000","8618","4650","190","","1155","2150","11000","74","3225","","10356","5000","","","","200","","","4335","3800","","","","","","3307","2178","1099","22","","","",""
"2015-11-23 00:00:00","4375","181","9428","8844","9154","46","","4200","54.5","","","179","173","181","","173","3450","","","8416","","37.5","4750","","9000","8259","4650","190","","1155","2150","11000","73","3225","","9808","5000","","","","196","","","4335","3800","","","","","","3307","2178","1099","22","","","",""
"2015-11-30 00:00:00","4375","180","9133","8878","9052","44","","4200","51.5","","","179","168","183","","173","3450","","","8036","","34.5","4750","","9000","8160","4650","185","","1155","2150","11000","72","3225","","9381","5000","","","","191","","","4335","3800","","","","","","3150","2112","1125","22","","","",""
"2015-12-07 00:00:00","4375","176","9103","8660","9138","41","","4200","52.5","","","178","163","183","","173","3450","","","8002","","37.5","4750","","9000","8112","4650","180","","1155","1925","11000","74","2825","","9350","5000","","","","190","","","4335","3800","","","","","","3150","2112","1125","22","","","",""
"2015-12-14 00:00:00","4375","176","9143","8330","9142","39","","4200","50.5","","","178","161","183","","173","3450","","","8067","","35.5","4750","","9000","8115","4650","180","","1155","1925","11000","75","2825","","9326","5000","","","","187","","","4335","3800","","","","","","3150","2112","1125","22","","","",""
"2015-12-21 00:00:00","4375","174","9268","8016","9135","39","","4200","51.5","","","175","160","183","","173","3450","","","7813","","36.5","4750","","9000","8050","4650","180","","1155","1925","11000","75","2825","","8888","5000","","","","187","","","4335","3800","","","","","","3150","2112","1125","22","","","",""
"2015-12-28 00:00:00","4375","172","9337","8134","9116","40","","4200","52.5","","","168","158","183","","173","3450","","","7638","","37.5","4750","","9000","8064","4650","180","","1155","1925","11000","76","2825","","8934","5000","","","","186","","","4335","3800","","","","","","2826","1884","1115","22","","","",""
"2016-01-04 00:00:00","4375","172","9332","8077","9095","42","","4200","54.5","","","168","160","183","","173","3450","","","7554","","39.5","4750","","9000","8067","4650","180","","1155","1925","11000","76","2825","","8973","5000","","","","189","","","4335","3800","","","","","","2826","1884","1115","22","","","",""
"2016-01-11 00:00:00","4325","173","9428","8058","9221","42","","4200","54.5","","","174","160","183","","173","3450","","","7439","","39.5","4700","","9000","7826","4650","185","","1155","1650","11000","77","2525","","8963","5000","","","","188","","","4335","3800","","","","","","2826","1884","1115","22","","","",""
"2016-01-18 00:00:00","4325","173","9240","8387","9089","40","","4200","53.5","","","175","159","183","","173","3450","","","7538","","38.5","4700","","9000","8090","4650","190","","1130","1650","11000","77","2525","","8981","5000","","","","186","","","4322","3800","","","","","","2826","1884","1115","22","","","",""
"2016-01-25 00:00:00","4325","172","9272","8361","9126","42","","4200","54","","","174","156","183","","174","3450","","","7649","","39","4700","","9000","8176","4650","190","","1130","1650","11000","75","2525","","9023","5000","","","","181","","","4322","3800","","","","","","2826","1884","1115","22","","","",""
"2016-02-01 00:00:00","4325","165","9339","8860","9231","42","","4200","54","","","168","153","183","","177","3450","","","7650","","39","4700","","9000","8247","4650","190","","1130","1650","11000","75","2525","","9067","5000","","","","177","","","4322","3800","","","","","","2456","1751","1134","22","","","",""
"2016-02-08 00:00:00","4325","165","9249","9094","9428","44","","4200","48.5","","","167","150","181","","177","3450","","","7916","","35.5","4700","","8650","8366","4650","185","","1130","1725","11700","74","2525","","9011","5000","","","","176","","","4322","3800","","","","","","2456","1751","1134","22","","","",""
"2016-02-15 00:00:00","4325","164","9442","9094","9540","44","","4200","48.5","","","168","148","185","","176","3450","","","8037","","35.5","4700","","8650","8502","4650","185","","1130","1725","11700","73","2525","","9224","5000","","","","175","","","4322","3800","","","","","","2456","1751","1134","22","","","",""
"2016-02-22 00:00:00","4325","166","9335","9177","9664","47","","4200","50","","","170","150","187","","177","3450","","","8163","","38","4700","","8650","8603","4650","187","","1130","1725","11700","74","2525","","9232","5000","","","","175","","","4322","3800","","","","","","2456","1751","1134","22","","","",""
"2016-02-29 00:00:00","4325","177","9408","8899","9745","50","","4200","53","","","182","160","188","","177","3450","","","8007","","40","4700","","8650","8729","4650","189","","1130","1725","11700","76","2525","","9276","5000","","","","188","","","4322","3800","","","","","","2596","1828","1077","21","","","",""
"2016-03-07 00:00:00","4325","189","9437","9266","9724","51","","4200","57.5","","","190","169","192","","182","3450","","","7993","","44.5","4700","","8650","8760","4650","210","","1130","1875","12300","79","2850","","9373","5000","","","","195","","","4322","3800","","","","","","2596","1828","1077","21","","","",""
"2016-03-14 00:00:00","4325","203","9887","8946","9729","60","","4200","61","","","206","186","193","","200","3450","","","8604","","48","4700","","8650","9023","4650","210","","1130","1875","12300","79","2850","","9501","5000","","","","208","","","4322","3800","","","","","","2596","1828","1077","21","","","",""
"2016-03-21 00:00:00","4325","214","9933","8800","10195","55","","4200","60","","","215","191","190","","210","3450","","","8865","","47","4700","","8650","9462","4650","240","","1130","1875","12300","80","2850","","9711","5000","","","","220","","","4322","3800","","","","","","2596","1828","1077","21","","","",""
"2016-03-28 00:00:00","4325","217","9990","8900","10444","57","","4200","61","","","217","200","214","","228","3450","","","8942","","48","4700","","8650","9745","4650","250","","1130","1875","12300","80","2850","","9836","5000","","","","227","","","4322","3800","","","","","","2818","2001","1074","21","","","",""
"2016-04-04 00:00:00","4325","225","9901","8700","10595","54","","4200","63","","","229","208","236","","238","3450","","","9096","","47","4700","","8650","9847","4650","250","","1130","1875","12300","82","2850","","9847","5000","","","","232","","","4322","3800","","","","","","2818","2001","1074","21","","","",""
"2016-04-11 00:00:00","4575","240","10292","9006","10673","54","","4400","63","","","244","223","241","","243","3550","","","9097","","47","5150","","8850","9857","5075","260","","1250","2275","14200","86","3325","","10284","5400","","","","258","","","4642","4100","","","","","","2818","2001","1074","21","","","",""
"2016-04-18 00:00:00","4575","257","10153","8701","10732","59","","4400","66.5","","","261","242","244","","248","3550","","","9268","","49.5","5150","","8850","9924","5075","275","","1250","2275","14200","90","3325","","10461","5400","","","","268","","","4642","4100","","","","","","2818","2001","1074","21","","","",""
"2016-04-25 00:00:00","4575","274","10120","8760","11019","65","","4400","69.5","","","277","255","251","","268","3550","","","9717","","52.5","5150","","8850","10402","5075","295","","1250","2275","14200","94","3325","","10579","5400","","","","293","","","4642","4100","","","","","","2818","2001","1074","21","","","",""
"2016-05-02 00:00:00","4575","289","10471","8734","11567","64","","4400","69","","","289","271","288","","275","3550","","","10325","","52","5150","","8850","10849","5075","325","","1250","2275","14200","97","3325","","10763","5400","","","","309","","","4642","4100","","","","","","3506","2304","1119","22","","","",""
"2016-05-09 00:00:00","4575","309","11395","8788","11860","60","","4400","67.5","","","315","288","295","","305","3550","","","10585","","51","5150","","8850","11034","5075","325","","1250","2250","19500","96","3275","","10978","5400","","","","327","","","4642","4100","","","","","","3506","2304","1119","22","","","",""
"2016-05-16 00:00:00","4575","299","12611","10887","12128","55","","4400","65","","","306","271","295","","285","3550","","","10986","","48.5","5150","","8850","11282","5075","315","","1250","2250","19500","94","3275","","11980","5400","","","","299","","","4642","4100","","","","","","3506","2304","1119","22","","","",""
"2016-05-23 00:00:00","4575","289","12380","10862","12196","55","","4400","65","","","302","254","295","","270","3550","","","11022","","48.5","5150","","8850","11403","5075","285","","1250","2250","19500","91","3275","","12248","5400","","","","296","","","4642","4100","","","","","","3506","2304","1119","22","","","",""
"2016-05-30 00:00:00","4575","274","12420","10793","12443","51","","4400","60","","","288","199","292","","250","3550","","","11457","","46.5","5150","","8850","11810","5075","280","","1250","2250","19500","86","3275","","12613","5400","","","","275","","","4642","4100","","","","","","3434","2284","1149","22","","","",""
"2016-06-06 00:00:00","4575","251","12587","11245","12890","51","","4400","60","","","254","195","290","","230","3550","","","11276","","46.5","5150","","8875","11984","5075","265","","1250","2375","17750","87","3350","","12801","5400","","","","255","","","4642","4100","","","","","","3434","2284","1149","22","","","",""
"2016-06-13 00:00:00","4575","216","12587","11222","12802","52","","4400","68.5","","","217","198","286","","225","3550","","","11296","","50.5","5150","","8875","11884","5075","245","","1250","2375","17750","90","3350","","12570","5400","","","","232","","","4642","4100","","","","","","3434","2284","1149","22","","","",""
"2016-06-20 00:00:00","4575","211","12827","11117","12540","51","","4400","68","","","215","193","288","","233","3550","","","11213","","50","5150","","8875","11643","5075","250","","1250","2375","17750","91","3350","","12311","5400","","","","228","","","4642","4100","","","","","","3434","2284","1149","22","","","",""
"2016-06-27 00:00:00","4575","211","12750","11051","12171","51","","4400","68","","","222","194","288","","233","3550","","","11015","","50","5150","","8875","11323","5075","250","","1250","2375","17750","91","3350","","12160","5400","","","","221","","","4642","4100","","","","","","3541","2373","1157","22","","","",""
"2016-07-04 00:00:00","4575","203","12157","9292","12045","54","","4400","69","","","207","193","253","","233","3550","","","10216","","51.5","5150","","8875","10824","5075","240","","1250","2375","17750","91","3350","","11178","5400","","","","217","","","4642","4100","","","","","","3541","2373","1157","22","","","",""
"2016-07-11 00:00:00","4575","202","11872","9427","11352","56","","4400","62.5","","","203","185","245","","226","3550","","","9895","","45","5150","","9025","10444","5075","245","","1250","2025","15900","92","3075","","11159","5400","","","","212","","","4622","3900","","","","","","3541","2373","1157","22","","","",""
"2016-07-18 00:00:00","4575","202","11488","9273","11350","58","","4400","63.5","","","204","187","250","","226","3550","","","9705","","46","5150","","9025","10419","5075","245","","1250","2025","15900","96","3075","","11023","5400","","","","218","","","4622","3900","","","","","","3541","2373","1157","22","","","",""
"2016-07-25 00:00:00","4575","210","11392","9242","11269","56","","4400","62.5","","","208","200","250","","226","3550","","","9524","","45","5150","","9025","10193","5075","250","","1250","2025","15900","97","3075","","11030","5400","","","","225","","","4622","3900","","","","","","3541","2373","1157","22","","","",""
