"dt","Цена на арматуру"
"2019-06-03 00:00:00","40200"
"2019-06-10 00:00:00","40300"
"2019-06-17 00:00:00","41500"
"2019-06-24 00:00:00","40500"
"2019-07-01 00:00:00","40500"
"2019-07-08 00:00:00","40300"
"2019-07-15 00:00:00","39800"
"2019-07-22 00:00:00","39800"
"2019-07-29 00:00:00","40200"
"2019-08-05 00:00:00","40300"
"2019-08-12 00:00:00","39200"
"2019-08-19 00:00:00","38700"
"2019-08-26 00:00:00","38200"
"2019-09-02 00:00:00","37700"
"2019-09-09 00:00:00","36900"
"2019-09-16 00:00:00","36200"
"2019-09-23 00:00:00","35000"
"2019-09-30 00:00:00","34200"
"2019-10-07 00:00:00","33500"
"2019-10-14 00:00:00","33300"
"2019-10-21 00:00:00","33500"
"2019-10-28 00:00:00","33300"
"2019-11-04 00:00:00","33800"
"2019-11-11 00:00:00","33500"
"2019-11-18 00:00:00","32300"
"2019-11-25 00:00:00","32200"
"2019-12-02 00:00:00","31800"
"2019-12-09 00:00:00","31100"
"2019-12-16 00:00:00","30600"
"2019-12-23 00:00:00","31400"
"2019-12-30 00:00:00","32900"
"2020-01-06 00:00:00","32900"
"2020-01-13 00:00:00","33400"
"2020-01-20 00:00:00","32500"
"2020-01-27 00:00:00","32890"
"2020-02-03 00:00:00","33400"
"2020-02-10 00:00:00","32800"
"2020-02-17 00:00:00","32000"
"2020-02-24 00:00:00","31500"
"2020-03-02 00:00:00","32500"
"2020-03-09 00:00:00","33500"
"2020-03-16 00:00:00","34000"
"2020-03-23 00:00:00","35000"
"2020-03-30 00:00:00","35000"
"2020-04-06 00:00:00","34500"
"2020-04-13 00:00:00","34000"
"2020-04-20 00:00:00","33500"
"2020-04-27 00:00:00","33500"
"2020-05-04 00:00:00","33500"
"2020-05-11 00:00:00","33500"
"2020-05-18 00:00:00","33500"
"2020-05-25 00:00:00","33500"
"2020-06-01 00:00:00","33000"
"2020-06-08 00:00:00","33000"
"2020-06-15 00:00:00","33000"
"2020-06-22 00:00:00","33700"
"2020-06-29 00:00:00","34500"
"2020-07-06 00:00:00","34500"
"2020-07-13 00:00:00","35000"
"2020-07-20 00:00:00","35000"
"2020-07-27 00:00:00","35100"
"2020-08-03 00:00:00","35100"
"2020-08-10 00:00:00","35200"
"2020-08-17 00:00:00","35500"
"2020-08-24 00:00:00","36500"
"2020-08-31 00:00:00","37200"
"2020-09-07 00:00:00","37500"
"2020-09-14 00:00:00","37500"
"2020-09-21 00:00:00","38000"
"2020-09-28 00:00:00","38500"
"2020-10-05 00:00:00","39500"
"2020-10-12 00:00:00","40000"
"2020-10-19 00:00:00","39500"
"2020-10-26 00:00:00","39500"
"2020-11-02 00:00:00","39500"
"2020-11-09 00:00:00","39500"
"2020-11-16 00:00:00","39500"
"2020-11-23 00:00:00","39500"
"2020-11-30 00:00:00","41500"
"2020-12-07 00:00:00","42500"
"2020-12-14 00:00:00","51000"
"2020-12-21 00:00:00","58000"
"2020-12-28 00:00:00","61000"
"2021-01-04 00:00:00","61000"
"2021-01-11 00:00:00","61000"
"2021-01-18 00:00:00","62000"
"2021-01-25 00:00:00","62000"
"2021-02-01 00:00:00","59000"
"2021-02-08 00:00:00","55000"
"2021-02-15 00:00:00","51500"
"2021-02-22 00:00:00","48500"
"2021-03-01 00:00:00","48000"
"2021-03-08 00:00:00","49000"
"2021-03-15 00:00:00","50500"
"2021-03-22 00:00:00","50800"
"2021-03-29 00:00:00","51500"
"2021-04-05 00:00:00","53500"
"2021-04-12 00:00:00","54500"
"2021-04-19 00:00:00","58500"
"2021-04-26 00:00:00","60500"
"2021-05-03 00:00:00","62500"
"2021-05-10 00:00:00","63500"
"2021-05-17 00:00:00","67000"
"2021-05-24 00:00:00","71900"
"2021-05-31 00:00:00","71900"
"2021-06-07 00:00:00","72500"
"2021-06-14 00:00:00","74000"
"2021-06-21 00:00:00","74000"
"2021-06-28 00:00:00","74000"
"2021-07-05 00:00:00","74000"
"2021-07-12 00:00:00","73500"
"2021-07-19 00:00:00","72500"
"2021-07-26 00:00:00","71500"
"2021-08-02 00:00:00","69500"
"2021-08-09 00:00:00","66000"
"2021-08-16 00:00:00","65000"
"2021-08-23 00:00:00","63500"
"2021-08-30 00:00:00","62000"
"2021-09-06 00:00:00","59000"
"2021-09-13 00:00:00","56500"
"2021-09-20 00:00:00","55000"
"2021-09-27 00:00:00","54000"
"2021-10-04 00:00:00","56800"
"2021-10-11 00:00:00","59000"
"2021-10-18 00:00:00","64000"
"2021-10-25 00:00:00","73000"
"2021-11-01 00:00:00","77000"
"2021-11-08 00:00:00","79000"
"2021-11-15 00:00:00","78000"
"2021-11-22 00:00:00","72500"
"2021-11-29 00:00:00","64000"
"2021-12-06 00:00:00","61500"
"2021-12-13 00:00:00","60500"
"2021-12-20 00:00:00","61500"
"2021-12-27 00:00:00","62500"
"2022-01-03 00:00:00","63500"
"2022-01-10 00:00:00","63500"
"2022-01-17 00:00:00","63700"
"2022-01-24 00:00:00","62500"
"2022-01-31 00:00:00","62900"
"2022-02-07 00:00:00","65000"
"2022-02-14 00:00:00","65500"
"2022-02-21 00:00:00","69000"
"2022-02-28 00:00:00","78000"
"2022-03-07 00:00:00","77000"
"2022-03-14 00:00:00","74000"
"2022-03-21 00:00:00","67000"
"2022-03-28 00:00:00","69500"
"2022-04-04 00:00:00","69500"
"2022-04-11 00:00:00","67500"
"2022-04-18 00:00:00","64000"
"2022-04-25 00:00:00","61500"
"2022-05-02 00:00:00","58000"
"2022-05-09 00:00:00","56000"
"2022-05-16 00:00:00","54000"
"2022-05-23 00:00:00","50000"
"2022-05-30 00:00:00","46000"
"2022-06-06 00:00:00","43500"
"2022-06-13 00:00:00","42000"
"2022-06-20 00:00:00","43000"
"2022-06-27 00:00:00","44000"
"2022-07-04 00:00:00","45000"
"2022-07-11 00:00:00","45500"
"2022-07-18 00:00:00","47000"
"2022-07-25 00:00:00","47500"
"2022-08-01 00:00:00","47500"
"2022-08-08 00:00:00","49000"
"2022-08-15 00:00:00","47500"
"2022-08-22 00:00:00","46500"
"2022-08-29 00:00:00","46000"
