date,Производство арматуры Сортовой прокат_Арматура,Производство арматуры Сортовой прокат_Катанка,Производство арматуры Сортовой прокат_Прутки прочие,Производство сырья ЖРС_Агломерат,Производство сырья ЖРС_Аглоруда,Производство сырья ЖРС_Концентрат,Производство сырья ЖРС_Концентрат для дообогащения,Производство сырья ЖРС_Окатыши,Производство сырья Кокс_Кокс валовый,Производство сырья Концентрат коксующегося угля_Жирные,Производство сырья Концентрат коксующегося угля_Коксовые,Производство сырья Концентрат коксующегося угля_Отощающие,Производство сырья Металлизованная продукция_ГБЖ,Производство сырья Металлизованная продукция_ПВЖ,Производство сырья Рядовой коксующийся уголь_Газовые,Производство сырья Рядовой коксующийся уголь_Жирные,Производство сырья Рядовой коксующийся уголь_Коксовые,Производство сырья Рядовой коксующийся уголь_Отощающие,Производство сырья Сталь_Конвертер,Производство сырья Сталь_Мартен,Производство сырья Сталь_Сталь всего,Производство сырья Сталь_Электропечь,Производство сырья Чугун_Чугун,ПотреблениеЖРС_Концентрат,ПотреблениеЖРС_Агломерат,ПотреблениеЖРС_Окатыши,ПотреблениеЖРС_Концентрат для дообогащения,ПотреблениеЖРС_Аглоруда,Поставки Сортовой прокат_Арматура,Поставки Сортовой прокат_Катанка,Поставки Сортовой прокат_Прутки прочие,Поставки Концентрат коксующегося угля_Жирные,Поставки Концентрат коксующегося угля_Коксовые,Поставки Концентрат коксующегося угля_Отощающие,Поставки Кокс_Кокс доменный,Поставки Чугун_Литейный чугун,Поставки Чугун_Передельный чугун,Поставки ЖРС_Агломерат,Поставки ЖРС_Аглоруда,Поставки ЖРС_Концентрат,Поставки ЖРС_Концентрат для дообогащения,Поставки ЖРС_Окатыши,Спрос ЖРС_Агломерат,Спрос ЖРС_Аглоруда,Спрос ЖРС_Концентрат,Спрос ЖРС_Концентрат для дообогащения,Спрос ЖРС_Окатыши,Спрос Металлизованная продукция_ГБЖ,Спрос Кокс_Кокс доменный,Спрос Концентрат коксующегося угля_Жирные,Спрос Концентрат коксующегося угля_Коксовые,Спрос Концентрат коксующегося угля_Отощающие,Импорт сырья ЖРС_Концентрат,Импорт сырья ЖРС_Окатыши,Импорт сырья Концентрат коксующегося угля_Жирные,Импорт сырья Концентрат коксующегося угля_Коксовые,Импорт арматуры Сортовой прокат_Арматура,Импорт арматуры Сортовой прокат_Катанка,Импорт арматуры Сортовой прокат_Прутки прочие,Экспорт сырья ЖРС_Агломерат,Экспорт сырья ЖРС_Аглоруда,Экспорт сырья ЖРС_Концентрат,Экспорт сырья ЖРС_Окатыши,Экспорт сырья Кокс_Кокс доменный,Экспорт сырья Кокс_Мелочь коксовая,Экспорт сырья Кокс_Орешек коксовый,Экспорт сырья Концентрат коксующегося угля_Жирные,Экспорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья Концентрат коксующегося угля_Отощающие,Экспорт сырья Лом_Лом коррозионностойкой стали,Экспорт сырья Лом_Лом стальной,Экспорт сырья Лом_Лом чугуна,Экспорт сырья Металлизованная продукция_Всего отгружено с предприятия,Экспорт сырья Металлизованная продукция_ГБЖ,Экспорт сырья Чугун_Всего отгружено с предприятия,Экспорт сырья Чугун_Литейный чугун,Экспорт сырья Чугун_Передельный чугун,Экспорт арматуры Сортовой прокат_Арматура,Экспорт арматуры Сортовой прокат_Катанка,Экспорт арматуры Сортовой прокат_Прутки прочие
1970-01-01 03:00:43,644,226,235,"4,978",321,"9,006",583,"3,882","2,334","2,567","2,396",303,236,251,372,"3,438","2,138","1,379","3,944",110,"5,917","1,862","4,319","3,773",406,"2,174",515,302,548,162,179,"1,431","1,611",50,479,2,79,407,301,"3,396",514,"2,024",407,301,"3,771",514,"2,175",32,493,"1,607","1,435",50,375,151,0,51,,,,0,0,63,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,96,65,56
1970-01-01 03:00:43,616,243,224,"5,193",366,"9,185",638,"4,111","2,437","2,673","2,429",287,240,262,367,"3,632","2,131","1,416","4,193",104,"6,222","1,926","4,465","3,823",408,"2,418",649,311,475,160,158,"1,628","1,670",38,526,2,50,408,311,"3,379",650,"2,224",408,311,"3,824",650,"2,419",42,535,"1,817","1,482",38,445,195,0,46,,,,0,0,55,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,83,67
1970-01-01 03:00:43,531,213,212,"4,954",278,"9,357",605,"4,403","2,215","2,721","2,474",387,215,263,499,"3,549","2,163","1,306","4,084",152,"6,090","1,855","4,445","3,723",399,"2,330",613,255,439,160,166,"1,492","1,689",46,468,1,43,399,255,"3,348",613,"2,079",399,255,"3,723",613,"2,329",109,478,"1,643","1,539",46,375,250,0,56,32.0,1.0,5.0,0,0,90,70,33,0,0,10,117,0,0,0,0,0,0,0,0,0,92,53,46
1970-01-01 03:00:43,524,210,237,"4,545",355,"8,339",570,"3,848","2,149","2,356","2,126",301,221,237,354,"2,911","2,005","1,416","3,575",132,"5,542","1,834","3,977","3,323",370,"1,962",568,293,422,138,179,"1,323","1,549",64,417,1,40,370,293,"2,999",568,"1,759",370,293,"3,325",568,"1,959",80,427,"1,499","1,374",64,326,200,0,69,23.0,1.0,13.0,0,0,114,16,0,0,0,0,112,0,0,0,0,0,0,0,0,0,102,71,58
1970-01-01 03:00:43,648,240,249,"5,325",425,"9,445",650,"4,249","2,442","2,436","2,620",306,255,255,346,"3,318","2,416","1,440","4,082",160,"6,330","2,087","4,543","3,782",411,"2,275",657,368,526,154,177,"1,442","1,804",60,465,2,36,411,368,"3,332",656,"2,124",411,368,"3,782",656,"2,274",67,479,"1,641","1,606",60,450,150,0,106,15.0,1.0,11.0,0,0,115,76,0,0,0,0,108,0,0,0,0,0,0,0,0,0,121,86,72
1970-01-01 03:00:43,653,234,233,"5,286",436,"9,252",614,"4,103","2,361","2,222","2,404",216,374,253,233,"3,311","2,129","1,315","4,065",152,"6,125","1,907","4,392","3,719",376,"2,316",610,421,514,171,183,"1,392","1,475",53,477,4,44,376,419,"3,270",610,"2,163",376,419,"3,720",610,"2,313",123,487,"1,527","1,340",53,450,150,0,53,23.0,2.0,10.0,0,0,101,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,140,63,50
1970-01-01 03:00:43,717,255,259,"5,071",436,"9,568",636,"4,552","2,374","2,431","2,529",287,399,260,346,"3,642","2,079","1,415","3,825",160,"5,928","1,941","4,300","3,802",401,"2,589",557,435,605,185,195,"1,470","1,716",55,397,2,38,401,435,"3,351",558,"2,434",401,435,"3,828",531,"2,589",98,407,"1,656","1,531",55,450,155,0,75,16.0,3.0,11.0,0,0,154,131,0,0,0,4,115,0,0,0,0,0,0,0,0,0,114,72,65
1970-01-01 03:00:43,685,250,261,"4,764",483,"9,272",427,"4,613","2,254","2,460","2,350",240,401,189,256,"3,470","2,130","1,367","3,563",146,"5,664","1,955","4,088","3,329",370,"2,506",474,451,578,160,183,"1,335","1,678",66,402,2,51,371,450,"2,886",474,"2,306",371,450,"3,358",447,"2,506",109,411,"1,528","1,485",66,445,200,0,80,34.0,2.0,11.0,0,0,215,289,0,0,0,28,69,0,0,0,0,0,0,0,0,11,108,91,80
1970-01-01 03:00:43,667,241,265,"5,001",512,"9,486",526,"4,299","2,353","2,723","2,386",315,379,266,336,"3,701","2,125","1,387","3,928",159,"6,101","2,014","4,317","3,610",368,"2,606",480,507,581,166,193,"1,399","1,601",94,412,1,37,368,507,"3,125",480,"2,380",368,507,"3,610",480,"2,605",122,423,"1,606","1,395",94,485,225,0,63,70.0,9.0,10.0,0,0,195,196,0,0,0,99,64,0,0,0,0,0,0,0,0,0,87,75,72
1970-01-01 03:00:43,704,264,266,"5,084",499,"9,474",528,"4,572","2,354","2,701","2,386",374,364,171,422,"3,741","2,190","1,172","4,004",155,"6,181","2,022","4,394","3,799",353,"2,520",511,477,626,185,189,"1,471","1,662",96,477,2,52,353,478,"3,364",511,"2,321",353,478,"3,799",511,"2,521",99,491,"1,643","1,491",96,435,200,0,47,83.0,10.0,10.0,0,0,239,282,0,0,0,55,123,0,0,0,0,0,0,0,0,0,91,82,76
1970-01-01 03:00:43,672,259,244,"4,784",474,"9,168",556,"4,542","2,290","2,825","2,259",274,384,228,308,"3,640","2,158","1,126","3,871",153,"5,965","1,939","4,279","3,559",376,"2,505",403,470,555,162,176,"1,521","1,541",76,426,0,35,376,471,"3,135",404,"2,332",376,471,"3,560",404,"2,509",94,438,"1,692","1,370",76,425,175,0,68,83.0,18.0,8.0,0,0,209,489,0,0,0,93,129,0,0,0,0,0,0,0,0,0,113,98,66
1970-01-01 03:00:43,564,186,268,"4,979",422,"9,470",487,"4,503","2,509","2,893","2,395",276,336,284,299,"4,205","2,191","1,104","3,819",144,"5,962","1,997","4,330","3,499",346,"2,519",516,426,484,155,177,"1,444","1,679",63,413,1,32,346,426,"3,044",516,"2,320",346,426,"3,499",516,"2,522",74,422,"1,618","1,506",63,455,200,0,81,66.0,4.0,8.0,0,0,185,425,7,6,0,80,99,0,0,0,0,0,0,0,0,0,78,32,94
1970-01-01 03:00:43,497,184,243,"4,855",379,"8,969",478,"4,484","2,282","2,692","2,180",428,362,274,510,"3,749","2,054","1,135","4,030",156,"5,994","1,807","4,422","3,755",407,"2,765",411,366,381,144,167,"1,492","1,524",72,410,2,43,408,365,"3,303",410,"2,566",408,365,"3,758",410,"2,766",92,421,"1,678","1,339",72,455,200,0,68,66.0,8.0,11.0,0,0,168,457,0,0,0,40,80,33,0,0,0,0,0,0,0,0,117,40,79
1970-01-01 03:00:43,630,215,253,"5,240",401,"9,469",467,"4,627","2,314","2,539","2,314",353,407,287,404,"3,806","2,057","1,244","4,132",176,"6,290","1,981","4,603","4,021",412,"2,858",397,378,454,149,181,"1,461","1,766",67,464,0,69,412,379,"3,573",397,"2,661",412,379,"4,023",397,"2,861",87,476,"1,666","1,562",67,450,200,0,44,69.0,29.0,7.0,0,0,102,486,27,0,2,28,75,0,0,0,0,0,0,0,0,0,178,68,75
1970-01-01 03:00:43,530,205,240,"5,223",400,"9,382",485,"4,761","2,370","2,482","2,063",255,425,286,282,"3,764","1,798","1,175","4,061",133,"6,171","1,978","4,530","3,791",391,"2,823",346,395,418,156,173,"1,334","1,519",61,436,1,29,391,395,"3,376",346,"2,662",391,395,"3,791",346,"2,822",86,449,"1,541","1,313",61,415,160,0,21,84.0,5.0,6.0,0,70,142,676,29,0,3,29,24,0,0,0,0,0,0,0,0,0,113,49,66
1970-01-01 03:00:43,491,204,248,"4,595",395,"8,537",508,"4,247","2,046","2,479","2,053",287,375,253,306,"3,458","1,857","1,226","3,533",173,"5,542","1,837","3,989","3,593",365,"2,455",472,340,389,165,176,"1,305","1,413",65,373,3,41,365,341,"3,203",472,"2,324",365,341,"3,593",472,"2,454",94,386,"1,493","1,227",65,390,130,0,10,66.0,21.0,6.0,0,50,205,415,28,0,2,112,146,0,0,0,0,0,0,0,0,0,103,41,76
1970-01-01 03:00:43,621,237,275,"4,884",391,"9,597",583,"4,866","2,282","2,959","2,203",374,435,286,335,"4,090","2,041","1,284","4,107",140,"6,322","2,076","4,470","3,938",347,"2,579",469,368,497,182,183,"1,507","1,517",137,425,1,46,347,368,"3,507",469,"2,449",347,368,"3,937",469,"2,579",74,434,"1,755","1,272",137,430,130,11,0,61.0,22.0,7.0,0,50,299,264,29,0,4,189,145,0,0,0,0,0,0,0,0,53,125,54,90
1970-01-01 03:00:43,594,223,273,"4,922",387,"9,459",451,"4,869","2,134","2,677","2,359",283,413,277,293,"3,980","2,031","1,223","3,899",137,"6,131","2,096","4,332","3,951",375,"2,775",425,328,501,182,187,"1,391","1,513",85,410,2,57,375,327,"3,467",425,"2,594",375,327,"3,952",425,"2,774",74,418,"1,604","1,300",85,485,180,0,21,38.0,14.0,8.0,0,8,235,530,29,2,9,147,159,0,0,0,0,0,0,0,0,0,92,40,87
1970-01-01 03:00:43,680,268,254,"5,023",439,"9,708",526,"4,916","2,217","2,584","2,245",283,430,286,264,"3,686","2,008","1,416","3,908",133,"6,200","2,160","4,255","3,843",420,"2,866",410,438,577,215,182,"1,382","1,463",79,383,2,37,421,438,"3,354",410,"2,716",421,438,"3,844",410,"2,866",80,389,"1,597","1,248",79,490,150,0,35,84.0,17.0,10.0,0,11,198,636,16,4,7,55,116,0,0,0,0,0,0,0,0,0,102,54,70
1970-01-01 03:00:43,654,222,270,"4,932",431,"9,744",540,"4,725","2,214","1,514","1,413",75,438,223,340,"3,457","2,055","1,412","3,908",104,"6,140","2,128","4,342","3,924",403,"2,706",464,493,545,179,210,"1,379","1,548",75,413,2,48,404,493,"3,425",465,"2,560",404,493,"3,925",465,"2,707",89,421,"1,597","1,330",75,500,147,0,27,63.0,45.0,11.0,0,27,191,499,14,6,9,81,217,0,0,0,0,0,0,0,0,0,109,43,61
1970-01-01 03:00:43,626,302,250,"5,123",480,"9,710",506,"4,882","2,310","2,758","2,580",300,308,286,268,"3,719","2,346","1,487","4,060",126,"6,403","2,217","4,458","3,905",401,"2,861",422,474,515,233,198,"1,447","1,698",93,428,2,34,401,476,"3,410",423,"2,710",401,476,"3,905",423,"2,860",65,441,"1,695","1,450",93,495,150,0,30,83.0,10.0,10.0,0,38,149,644,24,6,8,108,292,0,0,0,0,0,0,0,0,0,112,69,53
1970-01-01 03:00:43,705,293,274,"4,814",416,"9,813",568,"4,809","2,328","2,779","2,395",363,320,226,362,"3,993","2,116","1,410","3,894",136,"6,161","2,130","4,360","3,929",386,"3,001",379,412,597,232,218,"1,476","1,527",89,449,2,40,386,412,"3,446",379,"2,790",386,412,"3,930",379,"3,000",80,458,"1,659","1,345",89,484,210,0,40,86.0,25.0,8.0,0,58,324,639,14,6,10,117,219,0,0,0,0,0,0,0,0,0,107,61,56
1970-01-01 03:00:43,709,304,254,"4,615",409,"9,497",527,"4,716","2,211","2,547","2,233",363,348,277,343,"3,776","2,267","1,305","3,702",125,"5,889","2,062","4,132","3,681",357,"2,677",382,347,615,223,201,"1,421","1,428",100,418,1,45,358,348,"3,166",381,"2,495",358,348,"3,682",381,"2,675",76,426,"1,594","1,255",100,516,180,0,38,77.0,35.0,9.0,0,63,397,435,62,3,7,107,156,0,0,0,0,0,0,0,0,0,91,80,53
1970-01-01 03:00:43,709,276,269,"4,658",425,"10,009",495,"4,813","2,241","2,885","2,383",304,368,231,324,"4,047","2,311","1,304","3,673",139,"5,936","2,124","4,236","3,765",389,"2,846",397,411,604,204,214,"1,612","1,539",79,440,1,47,389,410,"3,264",397,"2,655",389,410,"3,764",397,"2,845",67,452,"1,807","1,345",79,500,190,0,43,53.0,16.0,14.0,0,53,372,407,33,10,21,141,136,0,0,0,0,0,0,0,0,0,107,73,56
1970-01-01 03:00:43,567,262,253,"4,201",377,"9,835",518,"4,692","2,236","2,735","2,249",351,375,277,362,"3,649","2,344","1,375","3,817",171,"5,831","1,845","4,276","3,885",370,"2,780",474,392,486,175,194,"1,617","1,443",75,442,2,56,370,392,"3,505",475,"2,578",370,392,"3,885",475,"2,779",77,451,"1,738","1,322",75,380,201,0,34,63.0,0.0,14.0,0,65,204,490,48,8,16,103,139,0,0,0,0,0,0,0,0,18,83,87,58
1970-01-01 03:00:44,695,258,255,"4,843",429,"9,678",583,"4,812","2,334","2,739","2,227",288,387,226,281,"3,677","2,118","1,142","4,051",134,"6,243","2,057","4,456","4,113",387,"3,028",421,374,585,186,191,"1,506","1,539",93,438,2,37,388,376,"3,592",420,"2,828",388,376,"4,112",420,"3,029",69,449,"1,592","1,453",93,520,201,0,49,40.0,26.0,11.0,0,79,352,512,65,7,5,228,191,0,0,0,0,0,0,0,0,13,110,71,61
1970-01-01 03:00:44,634,245,252,"4,967",358,"9,688",556,"4,937","2,363","3,051","2,266",358,421,285,322,"4,193","2,093","1,404","4,142",132,"6,204","1,929","4,513","3,999",386,"2,755",483,318,537,192,194,"1,705","1,460",103,417,0,40,386,318,"3,548",483,"2,591",386,318,"3,998",483,"2,757",75,430,"1,779","1,386",103,450,166,0,20,9.0,0.0,6.0,0,70,163,334,31,7,6,345,195,0,0,0,0,0,0,0,0,5,95,53,58
1970-01-01 03:00:44,595,238,239,"4,543",325,"8,712",486,"4,401","2,124","2,739","2,060",323,413,262,306,"3,918","1,661","1,211","3,733",101,"5,737","1,903","4,079","3,590",373,"2,580",398,341,495,174,163,"1,444","1,267",93,405,0,29,374,340,"3,216",398,"2,378",374,340,"3,591",398,"2,581",83,415,"1,458","1,253",93,375,203,0,28,60.0,33.0,7.0,0,92,192,402,27,7,9,216,149,0,0,0,0,0,0,0,0,14,100,65,76
1970-01-01 03:00:44,684,285,247,"5,017",430,"9,664",573,"4,842","2,302","3,135","2,468",370,420,289,354,"4,369","2,212","1,535","3,925",138,"6,145","2,082","4,354","4,085",355,"3,081",511,325,533,213,184,"1,760","1,458",103,432,4,38,355,324,"3,548",511,"2,888",355,324,"4,084",511,"3,080",99,438,"1,798","1,420",103,536,192,0,44,69.0,47.0,11.0,0,92,353,609,31,9,8,253,265,0,0,0,0,0,0,0,0,40,151,74,61
1970-01-01 03:00:44,731,290,263,"4,677",342,"9,732",582,"4,825","2,229","2,827","2,393",417,408,276,432,"3,852","2,151","1,521","3,702",143,"5,836","1,991","4,104","3,963",404,"2,863",514,361,613,214,196,"1,273","1,490",92,408,1,29,403,360,"3,469",514,"2,671",403,360,"3,962",514,"2,863",76,415,"1,415","1,349",92,493,192,0,32,45.0,43.0,10.0,0,94,357,499,18,9,9,270,291,0,0,0,0,0,0,0,0,2,118,74,69
1970-01-01 03:00:44,787,262,233,"4,942",261,"10,145",438,"4,975","2,263","3,124","2,646",346,430,286,312,"3,917","2,647","1,924","4,036",91,"6,301","2,174","4,338","4,088",428,"2,791",338,273,667,195,165,"1,491","1,546",103,366,2,33,427,272,"3,523",338,"2,601",427,272,"4,091",338,"2,793",95,376,"1,596","1,441",103,568,192,0,27,74.0,52.0,11.0,0,7,349,738,33,13,12,310,328,0,0,0,0,0,0,0,0,18,120,67,70
1970-01-01 03:00:44,790,212,238,"4,699",367,"9,786",556,"4,748","2,148","2,772","2,328",246,434,229,207,"4,026","1,978","1,631","3,832",143,"6,064","2,089","4,116","4,079",392,"2,335",476,276,673,166,166,"1,552","1,581",96,330,1,37,392,275,"3,530",476,"2,100",392,275,"4,081",476,"2,333",80,341,"1,722","1,411",96,551,233,0,33,68.0,35.0,5.0,0,0,289,370,49,11,5,315,265,0,0,0,0,0,0,0,0,24,116,48,69
1970-01-01 03:00:44,779,249,239,"4,755",390,"10,125",589,"4,794","2,226","2,970","2,269",326,450,286,330,"4,252","1,924","1,430","3,829",136,"6,069","2,103","4,258","3,917",346,"2,653",471,385,656,212,191,"1,533","1,361",75,356,2,26,346,384,"3,453",472,"2,432",346,384,"3,921",472,"2,653",96,366,"1,579","1,315",75,468,221,0,28,65.0,54.0,7.0,0,5,247,357,48,7,11,414,302,0,0,0,0,0,0,0,0,23,123,37,49
1970-01-01 03:00:44,755,265,257,"4,866",416,"10,009",626,"4,583","2,262","3,023","2,350",279,424,221,251,"4,356","1,863","1,699","3,848",141,"5,980","1,991","4,312","4,005",390,"2,498",523,423,653,232,211,"1,690","1,319",98,356,4,23,390,422,"3,447",523,"2,285",390,422,"4,007",523,"2,497",78,367,"1,752","1,181",98,560,212,0,31,68.0,38.0,11.0,0,97,221,396,25,10,7,369,348,0,0,18,0,0,0,0,0,32,98,35,48
1970-01-01 03:00:44,728,226,235,"4,513",412,"9,952",556,"4,737","2,188","3,080","2,231",166,323,279,89,"4,378","2,105","1,531","3,873",133,"5,903","1,898","4,159","3,547",391,"2,648",446,381,630,186,176,"1,561","1,189",82,358,5,31,391,380,"3,057",446,"2,447",391,380,"3,547",446,"2,647",68,366,"1,639","1,070",82,490,200,0,29,44.0,21.0,9.0,0,0,350,452,25,11,6,298,223,0,0,0,0,0,0,0,0,29,96,42,59
