dt,lme_price
2021-05-25 00:00:00,745
2021-05-26 00:00:00,746
2021-05-27 00:00:00,744
2021-05-28 00:00:00,744.21
2021-06-01 00:00:00,755
2021-06-02 00:00:00,755
2021-06-03 00:00:00,755
2021-06-04 00:00:00,755
2021-06-07 00:00:00,715
2021-06-08 00:00:00,715
2021-06-09 00:00:00,715
2021-06-10 00:00:00,715
2021-06-11 00:00:00,715
2021-06-14 00:00:00,715
2021-06-15 00:00:00,720
2021-06-16 00:00:00,725
2021-06-17 00:00:00,725
2021-06-18 00:00:00,725
2021-06-21 00:00:00,725
2021-06-22 00:00:00,725
2021-06-23 00:00:00,725
2021-06-24 00:00:00,725
2021-06-25 00:00:00,738
2021-06-28 00:00:00,735
2021-06-29 00:00:00,730
2021-06-30 00:00:00,726.48
2021-07-01 00:00:00,737.5
2021-07-02 00:00:00,736
2021-07-05 00:00:00,741.5
2021-07-06 00:00:00,742
2021-07-07 00:00:00,745
2021-07-08 00:00:00,740
2021-07-09 00:00:00,736.5
2021-07-12 00:00:00,753
2021-07-13 00:00:00,727
2021-07-14 00:00:00,727
2021-07-15 00:00:00,727
2021-07-16 00:00:00,724
2021-07-19 00:00:00,726
2021-07-20 00:00:00,725
2021-07-21 00:00:00,729
2021-07-22 00:00:00,731.5
2021-07-23 00:00:00,726.5
2021-07-26 00:00:00,724
2021-07-27 00:00:00,724
2021-07-28 00:00:00,722.5
2021-07-29 00:00:00,723
2021-07-30 00:00:00,720.57
2021-08-02 00:00:00,719
2021-08-03 00:00:00,708.5
2021-08-04 00:00:00,710
2021-08-05 00:00:00,706
2021-08-06 00:00:00,694.5
2021-08-09 00:00:00,698
2021-08-10 00:00:00,694.5
2021-08-11 00:00:00,696.5
2021-08-12 00:00:00,696.5
2021-08-13 00:00:00,696.5
2021-08-16 00:00:00,692.5
2021-08-17 00:00:00,692.5
2021-08-18 00:00:00,692.5
2021-08-19 00:00:00,692.5
2021-08-20 00:00:00,692.5
2021-08-23 00:00:00,690
2021-08-24 00:00:00,690
2021-08-25 00:00:00,690
2021-08-26 00:00:00,688
2021-08-27 00:00:00,687.5
2021-08-31 00:00:00,688.07
2021-09-01 00:00:00,671.5
2021-09-02 00:00:00,668
2021-09-03 00:00:00,671.5
2021-09-06 00:00:00,671.5
2021-09-07 00:00:00,668.5
2021-09-08 00:00:00,667.5
2021-09-09 00:00:00,676.5
2021-09-10 00:00:00,685
2021-09-13 00:00:00,679
2021-09-14 00:00:00,664
2021-09-15 00:00:00,660
2021-09-16 00:00:00,660
2021-09-17 00:00:00,669
2021-09-20 00:00:00,661
2021-09-21 00:00:00,667.5
2021-09-22 00:00:00,674
2021-09-23 00:00:00,667
2021-09-24 00:00:00,668
2021-09-27 00:00:00,670
2021-09-28 00:00:00,665
2021-09-29 00:00:00,665
2021-09-30 00:00:00,665.32
2021-10-01 00:00:00,681
2021-10-04 00:00:00,690.5
2021-10-05 00:00:00,700
2021-10-06 00:00:00,691.5
2021-10-07 00:00:00,700
2021-10-08 00:00:00,700
2021-10-11 00:00:00,712
2021-10-12 00:00:00,707
2021-10-13 00:00:00,714
2021-10-14 00:00:00,714
2021-10-15 00:00:00,711.5
2021-10-18 00:00:00,711.5
2021-10-19 00:00:00,714.5
2021-10-20 00:00:00,714.5
2021-10-21 00:00:00,714.5
2021-10-22 00:00:00,727.5
2021-10-25 00:00:00,714
2021-10-26 00:00:00,710
2021-10-27 00:00:00,710
2021-10-28 00:00:00,710
2021-10-29 00:00:00,709.2
2021-11-01 00:00:00,722.5
2021-11-02 00:00:00,731.5
2021-11-03 00:00:00,732
2021-11-04 00:00:00,733
2021-11-05 00:00:00,738
2021-11-08 00:00:00,731
2021-11-09 00:00:00,718
2021-11-10 00:00:00,717
2021-11-11 00:00:00,730
2021-11-12 00:00:00,712
2021-11-15 00:00:00,722
2021-11-16 00:00:00,706
2021-11-17 00:00:00,722
2021-11-18 00:00:00,717
2021-11-19 00:00:00,729
2021-11-22 00:00:00,722
2021-11-23 00:00:00,726
2021-11-24 00:00:00,726
2021-11-25 00:00:00,730.5
2021-11-26 00:00:00,728.5
2021-11-29 00:00:00,728
2021-11-30 00:00:00,728.75
2021-12-01 00:00:00,703
2021-12-02 00:00:00,690
2021-12-03 00:00:00,685.5
2021-12-06 00:00:00,703.5
2021-12-07 00:00:00,712.5
2021-12-08 00:00:00,707.5
2021-12-09 00:00:00,703
2021-12-10 00:00:00,697
2021-12-13 00:00:00,701
2021-12-14 00:00:00,694.5
2021-12-15 00:00:00,696.5
2021-12-16 00:00:00,692
2021-12-17 00:00:00,698
2021-12-20 00:00:00,691.5
2021-12-21 00:00:00,695
2021-12-22 00:00:00,695
2021-12-23 00:00:00,698
2021-12-24 00:00:00,696.5
2021-12-29 00:00:00,698
2021-12-30 00:00:00,698.5
2021-12-31 00:00:00,699.36
2022-01-04 00:00:00,689
2022-01-05 00:00:00,705
2022-01-06 00:00:00,707.5
2022-01-07 00:00:00,715
2022-01-10 00:00:00,707
2022-01-11 00:00:00,712.5
2022-01-12 00:00:00,708
2022-01-13 00:00:00,696
2022-01-14 00:00:00,700
2022-01-17 00:00:00,696.5
2022-01-18 00:00:00,705.5
2022-01-19 00:00:00,699.5
2022-01-20 00:00:00,705
2022-01-21 00:00:00,703.5
2022-01-24 00:00:00,697
2022-01-25 00:00:00,701.5
2022-01-26 00:00:00,695
2022-01-27 00:00:00,701
2022-01-28 00:00:00,702
2022-01-31 00:00:00,701.45
2022-02-01 00:00:00,729
2022-02-02 00:00:00,748
2022-02-03 00:00:00,739
2022-02-04 00:00:00,737
2022-02-07 00:00:00,750
2022-02-08 00:00:00,746.5
2022-02-09 00:00:00,745
2022-02-10 00:00:00,748
2022-02-11 00:00:00,745.5
2022-02-14 00:00:00,742.5
2022-02-15 00:00:00,737
2022-02-16 00:00:00,742.5
2022-02-17 00:00:00,741
2022-02-18 00:00:00,742.5
2022-02-21 00:00:00,743.5
2022-02-22 00:00:00,737.5
2022-02-23 00:00:00,740
2022-02-24 00:00:00,742
2022-02-25 00:00:00,739
2022-02-28 00:00:00,737.78
2022-03-01 00:00:00,845
2022-03-02 00:00:00,835
2022-03-03 00:00:00,835
2022-03-04 00:00:00,837.5
2022-03-07 00:00:00,850
2022-03-08 00:00:00,940
2022-03-09 00:00:00,950
2022-03-10 00:00:00,920
2022-03-11 00:00:00,925.5
2022-03-14 00:00:00,899
2022-03-15 00:00:00,925
2022-03-16 00:00:00,928.5
2022-03-17 00:00:00,925
2022-03-18 00:00:00,920
2022-03-21 00:00:00,925
2022-03-22 00:00:00,920
2022-03-23 00:00:00,926
2022-03-24 00:00:00,925
2022-03-25 00:00:00,926.5
2022-03-28 00:00:00,924.5
2022-03-29 00:00:00,922.5
2022-03-30 00:00:00,924
2022-03-31 00:00:00,925.3
2022-04-01 00:00:00,925.3
2022-04-04 00:00:00,942
2022-04-05 00:00:00,942
2022-04-06 00:00:00,942
2022-04-07 00:00:00,942.5
2022-04-08 00:00:00,942.5
2022-04-11 00:00:00,911.5
2022-04-12 00:00:00,942.5
2022-04-13 00:00:00,943
2022-04-14 00:00:00,938
2022-04-15 00:00:00,942.5
2022-04-18 00:00:00,942.5
2022-04-19 00:00:00,950
2022-04-20 00:00:00,944.5
2022-04-21 00:00:00,936.5
2022-04-22 00:00:00,934
2022-04-25 00:00:00,930
2022-04-26 00:00:00,935
2022-04-27 00:00:00,935
2022-04-28 00:00:00,935.5
2022-04-29 00:00:00,935.8
2022-05-03 00:00:00,822
2022-05-04 00:00:00,839.5
2022-05-05 00:00:00,860.5
2022-05-06 00:00:00,840
2022-05-09 00:00:00,822
2022-05-10 00:00:00,815.5
2022-05-11 00:00:00,814.5
2022-05-12 00:00:00,799.5
2022-05-13 00:00:00,801
2022-05-16 00:00:00,804.5
2022-05-17 00:00:00,804.5
2022-05-18 00:00:00,802.5
2022-05-19 00:00:00,795
2022-05-20 00:00:00,790
2022-05-23 00:00:00,800
2022-05-24 00:00:00,800
2022-05-25 00:00:00,806
2022-05-26 00:00:00,806
2022-05-27 00:00:00,804.5
2022-05-30 00:00:00,804.5
2022-05-31 00:00:00,803
2022-06-01 00:00:00,740
2022-06-06 00:00:00,740
2022-06-07 00:00:00,740
2022-06-08 00:00:00,730.5
2022-06-09 00:00:00,725
2022-06-10 00:00:00,715
2022-06-13 00:00:00,715
2022-06-14 00:00:00,708
2022-06-15 00:00:00,701
2022-06-17 00:00:00,692.5
2022-06-20 00:00:00,688
2022-06-21 00:00:00,692.5
2022-06-22 00:00:00,684
2022-06-23 00:00:00,684.5
2022-06-24 00:00:00,678.5
2022-06-27 00:00:00,687
2022-06-28 00:00:00,689.5
2022-06-29 00:00:00,692.5
2022-06-30 00:00:00,692.4
2022-07-01 00:00:00,669
2022-07-04 00:00:00,675
2022-07-05 00:00:00,675
2022-07-06 00:00:00,685
2022-07-07 00:00:00,692.5
2022-07-08 00:00:00,685
2022-07-11 00:00:00,680
2022-07-12 00:00:00,682.5
2022-07-13 00:00:00,682.5
2022-07-14 00:00:00,682.5
2022-07-15 00:00:00,682.5
2022-07-18 00:00:00,682.5
2022-07-19 00:00:00,682.5
2022-07-20 00:00:00,682.5
2022-07-21 00:00:00,682.5
2022-07-22 00:00:00,682.5
2022-07-25 00:00:00,682.5
2022-07-26 00:00:00,685
2022-07-27 00:00:00,682.5
2022-07-28 00:00:00,682.5
2022-07-29 00:00:00,680.71
2022-08-01 00:00:00,628.5
2022-08-02 00:00:00,625
2022-08-03 00:00:00,637
2022-08-04 00:00:00,631.5
2022-08-05 00:00:00,641
2022-08-08 00:00:00,650
2022-08-09 00:00:00,660.5
2022-08-10 00:00:00,659
2022-08-11 00:00:00,652.5
2022-08-12 00:00:00,660
2022-08-15 00:00:00,645
2022-08-22 00:00:00,641
2022-08-29 00:00:00,643
2022-09-05 00:00:00,670
2022-09-19 00:00:00,665
2022-09-20 00:00:00,666
2022-09-21 00:00:00,669
2022-09-22 00:00:00,671
2022-09-23 00:00:00,672
2022-09-26 00:00:00,670.5
2022-09-27 00:00:00,673
2022-09-28 00:00:00,672.5
2022-09-29 00:00:00,671
2022-09-30 00:00:00,672.74
2022-10-03 00:00:00,690
2022-10-04 00:00:00,690
2022-10-05 00:00:00,685
2022-10-06 00:00:00,690
2022-10-07 00:00:00,686
2022-10-10 00:00:00,688
2022-10-11 00:00:00,691.5
2022-10-12 00:00:00,688.56
2022-10-13 00:00:00,685
2022-10-14 00:00:00,683
2022-10-17 00:00:00,680
2022-10-18 00:00:00,679
2022-10-19 00:00:00,677.5
2022-10-20 00:00:00,676
2022-10-21 00:00:00,675
2022-10-24 00:00:00,680.5
2022-10-25 00:00:00,670
2022-10-26 00:00:00,670
2022-10-27 00:00:00,674
2022-10-28 00:00:00,675
2022-10-31 00:00:00,678.14
2022-11-01 00:00:00,637
2022-11-02 00:00:00,640
2022-11-03 00:00:00,632
2022-11-04 00:00:00,633
2022-11-07 00:00:00,626.5
2022-11-08 00:00:00,630
2022-11-09 00:00:00,633.5
2022-11-10 00:00:00,634.5
2022-11-11 00:00:00,635.5
2022-11-14 00:00:00,639
2022-11-15 00:00:00,636
2022-11-16 00:00:00,634
2022-11-17 00:00:00,636.5
2022-11-18 00:00:00,634.5
2022-11-21 00:00:00,636
2022-11-22 00:00:00,634.5
2022-11-23 00:00:00,633.5
2022-11-24 00:00:00,632.5
2022-11-25 00:00:00,634.5
2022-11-28 00:00:00,638
2022-11-29 00:00:00,639.5
2022-11-30 00:00:00,636.9
2022-12-01 00:00:00,661.5
2022-12-02 00:00:00,672.5
2022-12-05 00:00:00,673
2022-12-06 00:00:00,674
2022-12-07 00:00:00,675
2022-12-08 00:00:00,672.5
2022-12-09 00:00:00,676.5
2022-12-12 00:00:00,671
2022-12-13 00:00:00,668.5
2022-12-14 00:00:00,669.5
2022-12-15 00:00:00,671
2022-12-16 00:00:00,666.5
2022-12-19 00:00:00,665
2022-12-20 00:00:00,661.5
2022-12-21 00:00:00,660.5
2022-12-22 00:00:00,662.5
2022-12-23 00:00:00,667
2022-12-28 00:00:00,673
2022-12-29 00:00:00,665.5
2022-12-30 00:00:00,664.9
2023-01-03 00:00:00,683
2023-01-04 00:00:00,688
2023-01-05 00:00:00,694
2023-01-06 00:00:00,699
2023-01-09 00:00:00,695
2023-01-10 00:00:00,692
2023-01-11 00:00:00,691
2023-01-12 00:00:00,685
2023-01-13 00:00:00,688
2023-01-16 00:00:00,680
2023-01-17 00:00:00,686
2023-01-18 00:00:00,693
2023-01-19 00:00:00,691
2023-01-20 00:00:00,685
2023-01-23 00:00:00,681
2023-01-24 00:00:00,686
2023-01-25 00:00:00,691
2023-01-26 00:00:00,691
2023-01-27 00:00:00,690
2023-01-30 00:00:00,688
2023-01-31 00:00:00,688.74
2023-02-01 00:00:00,702
2023-02-02 00:00:00,704.5
2023-02-03 00:00:00,711
2023-02-06 00:00:00,704
2023-02-07 00:00:00,710
2023-02-08 00:00:00,709
2023-02-09 00:00:00,711
2023-02-10 00:00:00,707
2023-02-13 00:00:00,709.5
2023-02-14 00:00:00,707
2023-02-15 00:00:00,710.5
2023-02-16 00:00:00,712
2023-02-17 00:00:00,707.5
2023-02-20 00:00:00,709
2023-02-21 00:00:00,700
2023-02-22 00:00:00,705
2023-02-23 00:00:00,709
2023-02-24 00:00:00,699
2023-02-27 00:00:00,706
2023-02-28 00:00:00,707
2023-03-01 00:00:00,759
2023-03-02 00:00:00,752
2023-03-03 00:00:00,742
2023-03-06 00:00:00,747
2023-03-07 00:00:00,749
2023-03-08 00:00:00,744
2023-03-09 00:00:00,749
2023-03-10 00:00:00,754
2023-03-13 00:00:00,747
2023-03-14 00:00:00,743
2023-03-15 00:00:00,731
2023-03-16 00:00:00,735
2023-03-17 00:00:00,730
2023-03-20 00:00:00,724.5
2023-03-21 00:00:00,706
2023-03-22 00:00:00,694.5
2023-03-23 00:00:00,680
2023-03-24 00:00:00,706.5
2023-03-27 00:00:00,725
, 
