"ЖРС_Китай Iron ore fines Fe 62%, CFR","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","Лом_3А, FOB РФ Черное море, $/т","Чугун_CFR Италия, $/т","Чугун_Россия, FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ГБЖ_CFR Италия, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС",date
65,1950.0,1772.0,5000.0,4250,85,261,10225,242,,13000,271,,2594.0,1170.0,2015-06-15 00:00:00
62,1950.0,1772.0,5000.0,4250,87,257,10232,239,,13000,268,,2594.0,1170.0,2015-06-22 00:00:00
61,1950.0,1991.0,5000.0,4250,88,237,10245,229,,13000,266,,2756.0,1180.0,2015-06-29 00:00:00
58,2125.0,1991.0,4000.0,3300,87,224,10417,223,,13000,259,,2756.0,1180.0,2015-07-06 00:00:00
49,2125.0,1991.0,4000.0,3300,87,219,10682,212,,13000,255,,2756.0,1180.0,2015-07-13 00:00:00
50,2125.0,1991.0,4000.0,3300,84,201,10880,194,,13000,245,,2756.0,1180.0,2015-07-20 00:00:00
52,2125.0,2144.0,4000.0,3300,80,201,10883,203,,13000,245,,3008.0,1093.0,2015-07-27 00:00:00
54,1900.0,2144.0,4000.0,3300,79,208,10838,208,,13000,240,,3008.0,1093.0,2015-08-03 00:00:00
56,1900.0,2144.0,4000.0,3300,83,215,10840,208,,13000,245,,3008.0,1093.0,2015-08-10 00:00:00
56,1900.0,2144.0,4000.0,3300,83,211,10823,212,,13000,245,,3008.0,1093.0,2015-08-17 00:00:00
56,1900.0,2144.0,4000.0,3300,81,204,10853,212,,13000,240,,3008.0,1093.0,2015-08-24 00:00:00
54,1900.0,1910.0,4000.0,3300,81,211,10841,207,,13000,235,,2745.0,1098.0,2015-08-31 00:00:00
56,2000.0,1910.0,4000.0,3300,81,201,10961,202,,14000,230,,2745.0,1098.0,2015-09-07 00:00:00
58,2000.0,1910.0,4000.0,3300,81,184,10946,183,,14000,210,,2745.0,1098.0,2015-09-14 00:00:00
57,2000.0,1910.0,4000.0,3300,81,180,10949,181,,14000,210,,2745.0,1098.0,2015-09-21 00:00:00
57,2000.0,2018.0,4000.0,3300,80,170,10718,172,,14000,205,,2949.0,1107.0,2015-09-28 00:00:00
55,2150.0,2018.0,4000.0,3300,79,165,10670,165,,14000,195,,2949.0,1107.0,2015-10-05 00:00:00
55,2150.0,2018.0,4200.0,3450,80,154,10531,163,,14000,190,,2949.0,1107.0,2015-10-12 00:00:00
55,2150.0,2018.0,4200.0,3450,79,153,10400,154,,14000,175,,2949.0,1107.0,2015-10-19 00:00:00
52,2150.0,2178.0,4200.0,3450,78,154,10384,151,,14000,180,,3307.0,1099.0,2015-10-26 00:00:00
50,2150.0,2178.0,4200.0,3450,77,167,10008,158,,14000,185,,3307.0,1099.0,2015-11-02 00:00:00
48,2150.0,2178.0,4200.0,3450,76,174,9850,166,,11000,185,,3307.0,1099.0,2015-11-09 00:00:00
48,2150.0,2178.0,4200.0,3450,74,182,9541,175,,11000,190,,3307.0,1099.0,2015-11-16 00:00:00
46,2150.0,2178.0,4200.0,3450,73,181,9154,173,,11000,190,,3307.0,1099.0,2015-11-23 00:00:00
44,2150.0,2112.0,4200.0,3450,72,180,9052,168,,11000,185,,3150.0,1125.0,2015-11-30 00:00:00
41,1925.0,2112.0,4200.0,3450,74,176,9138,163,,11000,180,,3150.0,1125.0,2015-12-07 00:00:00
39,1925.0,2112.0,4200.0,3450,75,176,9142,161,,11000,180,,3150.0,1125.0,2015-12-14 00:00:00
39,1925.0,2112.0,4200.0,3450,75,174,9135,160,,11000,180,,3150.0,1125.0,2015-12-21 00:00:00
40,1925.0,1884.0,4200.0,3450,76,172,9116,158,,11000,180,,2826.0,1115.0,2015-12-28 00:00:00
42,1925.0,1884.0,4200.0,3450,76,172,9095,160,,11000,180,,2826.0,1115.0,2016-01-04 00:00:00
42,1650.0,1884.0,4200.0,3450,77,173,9221,160,,11000,185,,2826.0,1115.0,2016-01-11 00:00:00
40,1650.0,1884.0,4200.0,3450,77,173,9089,159,,11000,190,,2826.0,1115.0,2016-01-18 00:00:00
42,1650.0,1884.0,4200.0,3450,75,172,9126,156,,11000,190,,2826.0,1115.0,2016-01-25 00:00:00
42,1650.0,1751.0,4200.0,3450,75,165,9231,153,,11000,190,,2456.0,1134.0,2016-02-01 00:00:00
44,1725.0,1751.0,4200.0,3450,74,165,9428,150,,11700,185,,2456.0,1134.0,2016-02-08 00:00:00
44,1725.0,1751.0,4200.0,3450,73,164,9540,148,,11700,185,,2456.0,1134.0,2016-02-15 00:00:00
47,1725.0,1751.0,4200.0,3450,74,166,9664,150,,11700,187,,2456.0,1134.0,2016-02-22 00:00:00
50,1725.0,1828.0,4200.0,3450,76,177,9745,160,,11700,189,,2596.0,1077.0,2016-02-29 00:00:00
51,1875.0,1828.0,4200.0,3450,79,189,9724,169,,12300,210,,2596.0,1077.0,2016-03-07 00:00:00
60,1875.0,1828.0,4200.0,3450,79,203,9729,186,,12300,210,,2596.0,1077.0,2016-03-14 00:00:00
55,1875.0,1828.0,4200.0,3450,80,214,10195,191,,12300,240,,2596.0,1077.0,2016-03-21 00:00:00
57,1875.0,2001.0,4200.0,3450,80,217,10444,200,,12300,250,,2818.0,1074.0,2016-03-28 00:00:00
54,1875.0,2001.0,4200.0,3450,82,225,10595,208,,12300,250,,2818.0,1074.0,2016-04-04 00:00:00
54,2275.0,2001.0,4400.0,3550,86,240,10673,223,,14200,260,,2818.0,1074.0,2016-04-11 00:00:00
59,2275.0,2001.0,4400.0,3550,90,257,10732,242,,14200,275,,2818.0,1074.0,2016-04-18 00:00:00
65,2275.0,2001.0,4400.0,3550,94,274,11019,255,,14200,295,,2818.0,1074.0,2016-04-25 00:00:00
64,2275.0,2304.0,4400.0,3550,97,289,11567,271,,14200,325,,3506.0,1119.0,2016-05-02 00:00:00
60,2250.0,2304.0,4400.0,3550,96,309,11860,288,,19500,325,,3506.0,1119.0,2016-05-09 00:00:00
55,2250.0,2304.0,4400.0,3550,94,299,12128,271,,19500,315,,3506.0,1119.0,2016-05-16 00:00:00
55,2250.0,2304.0,4400.0,3550,91,289,12196,254,,19500,285,,3506.0,1119.0,2016-05-23 00:00:00
51,2250.0,2284.0,4400.0,3550,86,274,12443,199,,19500,280,,3434.0,1149.0,2016-05-30 00:00:00
51,2375.0,2284.0,4400.0,3550,87,251,12890,195,,17750,265,,3434.0,1149.0,2016-06-06 00:00:00
52,2375.0,2284.0,4400.0,3550,90,216,12802,198,,17750,245,,3434.0,1149.0,2016-06-13 00:00:00
51,2375.0,2284.0,4400.0,3550,91,211,12540,193,,17750,250,,3434.0,1149.0,2016-06-20 00:00:00
51,2375.0,2373.0,4400.0,3550,91,211,12171,194,,17750,250,,3541.0,1157.0,2016-06-27 00:00:00
54,2375.0,2373.0,4400.0,3550,91,203,12045,193,,17750,240,,3541.0,1157.0,2016-07-04 00:00:00
56,2025.0,2373.0,4400.0,3550,92,202,11352,185,,15900,245,,3541.0,1157.0,2016-07-11 00:00:00
58,2025.0,2373.0,4400.0,3550,96,202,11350,187,,15900,245,,3541.0,1157.0,2016-07-18 00:00:00
56,2025.0,2373.0,4400.0,3550,97,210,11269,200,,15900,250,,3541.0,1157.0,2016-07-25 00:00:00
59,2025.0,1987.0,4400.0,3550,100,213,11248,201,,15900,250,,2930.0,1146.0,2016-08-01 00:00:00
60,2050.0,1987.0,4400.0,3550,103,212,11230,201,,14750,245,,2930.0,1146.0,2016-08-08 00:00:00
61,2050.0,1987.0,4400.0,3550,106,213,11421,197,,14750,250,,2930.0,1146.0,2016-08-15 00:00:00
61,2050.0,1987.0,4400.0,3550,114,208,11509,200,,14750,255,,2930.0,1146.0,2016-08-22 00:00:00
61,2050.0,2123.0,4400.0,3550,124,216,11664,195,,14750,255,,3232.0,1198.0,2016-08-29 00:00:00
59,2350.0,2123.0,4400.0,3550,139,210,11876,196,,14750,255,,3232.0,1198.0,2016-09-05 00:00:00
59,2350.0,2123.0,4400.0,3550,166,209,12191,191,,14750,255,,3232.0,1198.0,2016-09-12 00:00:00
56,2350.0,2123.0,4400.0,3550,199,208,12420,188,,14750,245,,3232.0,1198.0,2016-09-19 00:00:00
56,2350.0,2298.0,4400.0,3550,206,204,12568,188,,14750,250,,3567.0,1097.0,2016-09-26 00:00:00
56,2350.0,2298.0,4400.0,3550,209,196,12591,181,,14750,243,,3567.0,1097.0,2016-10-03 00:00:00
55,2375.0,2298.0,6450.0,5850,211,201,13005,186,,13400,235,,3567.0,1097.0,2016-10-10 00:00:00
57,2375.0,2298.0,6450.0,5850,222,206,13017,194,,13400,240,,3567.0,1097.0,2016-10-17 00:00:00
59,2375.0,2298.0,6450.0,5850,239,213,12976,208,,13400,250,,3567.0,1097.0,2016-10-24 00:00:00
62,2375.0,2330.0,6450.0,5850,250,221,12682,206,,13400,270,,3509.0,1049.0,2016-10-31 00:00:00
65,2425.0,2330.0,6450.0,5850,265,237,12548,213,,13900,290,,3509.0,1049.0,2016-11-07 00:00:00
72,2425.0,2330.0,6450.0,5850,302,252,12483,236,,13900,315,,3509.0,1049.0,2016-11-14 00:00:00
74,2425.0,2330.0,6450.0,5850,306,255,12729,240,,13900,325,,3509.0,1049.0,2016-11-21 00:00:00
76,2425.0,2129.0,6450.0,5850,304,250,13377,236,,13900,320,,3303.0,1079.0,2016-11-28 00:00:00
77,3175.0,2129.0,6450.0,5850,301,248,13950,233,,16800,315,,3303.0,1079.0,2016-12-05 00:00:00
81,3175.0,2129.0,6450.0,5850,289,245,14492,230,,16800,310,,3303.0,1079.0,2016-12-12 00:00:00
82,3175.0,2129.0,6450.0,5850,254,251,15385,255,,16800,315,,3303.0,1079.0,2016-12-19 00:00:00
80,3175.0,2696.0,6450.0,5850,245,259,15869,263,,16800,310,,3848.0,1107.0,2016-12-26 00:00:00
80,3175.0,2696.0,6450.0,5850,228,259,15878,263,,16800,310,,3848.0,1107.0,2017-01-02 00:00:00
78,3975.0,2696.0,6450.0,6300,210,259,15705,263,,20850,310,,3848.0,1107.0,2017-01-09 00:00:00
80,3975.0,2696.0,6450.0,6300,188,256,15861,260,,20850,310,,3848.0,1107.0,2017-01-16 00:00:00
82,3975.0,2696.0,6450.0,6300,176,249,15838,253,,20850,315,,3848.0,1107.0,2017-01-23 00:00:00
82,3975.0,3813.0,6450.0,6300,173,219,15868,223,,20850,300,,4886.0,1554.0,2017-01-30 00:00:00
83,3775.0,3813.0,9250.0,8250,171,206,15642,209,,20850,290,,4886.0,1554.0,2017-02-06 00:00:00
83,3775.0,3813.0,9250.0,8250,168,222,15229,222,285.5,20850,310,,4886.0,1554.0,2017-02-13 00:00:00
91,3775.0,3813.0,9250.0,8250,155,246,14854,245,312.5,20850,328,,4886.0,1554.0,2017-02-20 00:00:00
93,3775.0,3794.0,9250.0,8250,159,254,14506,252,322.5,20850,340,,4827.0,1884.0,2017-02-27 00:00:00
92,3925.0,3794.0,9150.0,8250,162,259,14184,255,352.5,20850,360,,4827.0,1884.0,2017-03-06 00:00:00
87,3925.0,3794.0,9150.0,8250,161,269,13438,271,372.5,20850,365,,4827.0,1884.0,2017-03-13 00:00:00
91,3925.0,3794.0,9150.0,8250,160,268,13515,270,387.5,20850,385,,4827.0,1884.0,2017-03-20 00:00:00
86,3925.0,3889.0,9150.0,8250,155,250,13479,257,387.5,20850,395,,5189.0,2176.0,2017-03-27 00:00:00
81,3925.0,3889.0,9150.0,8250,155,241,13477,249,377.5,20850,390,,5189.0,2176.0,2017-04-03 00:00:00
79,4175.0,3889.0,5650.0,5550,214,247,13400,255,372.5,21250,390,,5189.0,2176.0,2017-04-10 00:00:00
71,4175.0,3889.0,5650.0,5550,285,246,13392,254,372.5,21250,387,,5189.0,2176.0,2017-04-17 00:00:00
65,4175.0,3889.0,5650.0,5550,268,238,13268,243,372.5,21250,385,,5189.0,2176.0,2017-04-24 00:00:00
68,4175.0,4304.0,5650.0,5550,231,238,13298,239,367.5,21250,375,,5528.0,2293.0,2017-05-01 00:00:00
66,3525.0,4304.0,5650.0,5550,201,252,13275,250,368.5,18500,370,,5528.0,2293.0,2017-05-08 00:00:00
60,3525.0,4304.0,5650.0,5550,174,251,13168,249,365.0,18500,370,,5528.0,2293.0,2017-05-15 00:00:00
62,3525.0,4304.0,5650.0,5550,159,250,13095,248,360.0,18500,365,,5528.0,2293.0,2017-05-22 00:00:00
60,3525.0,3753.0,5650.0,5550,154,246,13080,247,352.5,18500,360,,4702.0,2440.0,2017-05-29 00:00:00
57,2797.5,3753.0,5650.0,5550,152,246,12995,247,355.0,18250,360,249.5,4702.0,2440.0,2017-06-05 00:00:00
56,2797.5,3753.0,5650.0,5550,149,247,12815,248,345.0,18250,355,248.5,4702.0,2440.0,2017-06-12 00:00:00
54,2797.5,3753.0,5650.0,5550,142,249,12826,250,345.0,18250,350,250.0,4702.0,2440.0,2017-06-19 00:00:00
56,2797.5,3014.0,5650.0,5550,143,253,12821,254,344.5,18250,345,252.5,3881.0,2415.0,2017-06-26 00:00:00
61,2797.5,3014.0,5650.0,5550,148,262,12814,263,345.5,18250,340,252.5,3881.0,2415.0,2017-07-03 00:00:00
63,2440.0,3014.0,5600.0,5200,152,270,12808,270,355.5,18250,350,269.0,3881.0,2415.0,2017-07-10 00:00:00
65,2440.0,3014.0,5600.0,5200,160,271,12803,273,357.5,18250,350,269.0,3881.0,2415.0,2017-07-17 00:00:00
68,2440.0,3014.0,5600.0,5200,169,273,12766,278,362.5,18250,350,275.0,3881.0,2415.0,2017-07-24 00:00:00
69,2440.0,2577.0,5600.0,5200,176,292,13137,290,367.5,18250,360,287.5,3336.0,1970.0,2017-07-31 00:00:00
73,2860.0,2577.0,5600.0,5200,181,305,13841,303,366.0,18850,355,297.5,3336.0,1970.0,2017-08-07 00:00:00
76,2860.0,2577.0,5600.0,5200,191,325,14104,320,375.0,18850,360,302.5,3336.0,1970.0,2017-08-14 00:00:00
74,2860.0,2577.0,5600.0,5200,193,330,14648,329,375.0,18850,365,317.5,3336.0,1970.0,2017-08-21 00:00:00
78,2860.0,2771.0,5600.0,5200,201,333,15876,332,385.0,18850,375,342.5,3775.0,1964.0,2017-08-28 00:00:00
77,2860.0,2771.0,5600.0,5200,208,330,16179,330,390.0,18850,380,342.5,3775.0,1964.0,2017-09-04 00:00:00
77,3305.0,2771.0,5600.0,5200,210,331,16271,327,390.0,19350,380,342.5,3775.0,1964.0,2017-09-11 00:00:00
74,3305.0,2771.0,5600.0,5200,207,326,16676,315,386.5,19350,380,337.5,3775.0,1964.0,2017-09-18 00:00:00
67,3305.0,2771.0,5600.0,5200,198,305,17238,305,375.0,19350,375,327.5,3775.0,1964.0,2017-09-25 00:00:00
63,3305.0,3291.0,5600.0,5200,190,280,17228,265,357.5,19350,345,295.0,4367.0,1986.0,2017-10-02 00:00:00
62,3370.0,3291.0,7600.0,6125,186,275,17167,260,350.0,20650,345,292.5,4367.0,1986.0,2017-10-09 00:00:00
60,3370.0,3291.0,7600.0,6125,182,280,16933,265,351.5,20650,340,277.5,4367.0,1986.0,2017-10-16 00:00:00
61,3370.0,3291.0,7600.0,6125,180,285,16898,261,352.5,20650,340,277.5,4367.0,1986.0,2017-10-23 00:00:00
61,3370.0,3374.0,7600.0,6125,181,273,16484,261,355.0,20650,340,277.5,4532.0,2074.0,2017-10-30 00:00:00
60,2750.0,3374.0,7600.0,5900,177,279,16141,265,355.0,20000,340,277.5,4532.0,2074.0,2017-11-06 00:00:00
63,2750.0,3374.0,7600.0,5900,181,275,15769,260,352.5,20000,337,282.5,4532.0,2074.0,2017-11-13 00:00:00
62,2750.0,3374.0,7600.0,5900,188,277,15327,266,352.5,20000,340,282.5,4532.0,2074.0,2017-11-20 00:00:00
65,2750.0,2749.0,7600.0,5900,198,285,14970,272,352.5,20000,335,295.0,3741.0,2104.0,2017-11-27 00:00:00
68,2750.0,2749.0,7600.0,5900,205,301,14882,270,355.5,20000,335,302.5,3741.0,2104.0,2017-12-04 00:00:00
70,2740.0,2749.0,7600.0,6400,220,320,14759,285,366.0,20000,355,305.0,3741.0,2104.0,2017-12-11 00:00:00
70,2740.0,2749.0,7600.0,6400,226,320,14768,295,363.5,20000,355,305.0,3741.0,2104.0,2017-12-18 00:00:00
74,2740.0,2749.0,7600.0,6400,240,333,14722,315,375.0,20000,360,337.5,3741.0,2104.0,2017-12-25 00:00:00
73,2740.0,2740.0,7600.0,6400,250,335,14666,320,380.0,20000,365,337.5,3742.0,2206.0,2018-01-01 00:00:00
76,3350.0,2740.0,8000.0,7225,249,340,14478,320,382.5,20300,365,337.5,3742.0,2206.0,2018-01-08 00:00:00
79,3350.0,2740.0,8000.0,7225,247,340,14604,325,387.5,20300,380,340.0,3742.0,2206.0,2018-01-15 00:00:00
76,3350.0,2740.0,8000.0,7225,228,330,14700,317,382.5,20300,380,325.0,3742.0,2206.0,2018-01-22 00:00:00
75,3350.0,3100.0,8000.0,7225,212,325,14810,312,376.0,20300,365,315.0,4239.0,1863.0,2018-01-29 00:00:00
72,3575.0,3100.0,8237.5,8075,213,317,15065,300,372.5,20550,370,315.0,4239.0,1863.0,2018-02-05 00:00:00
76,3575.0,3100.0,8237.5,8075,223,317,15431,300,367.5,20550,365,315.0,4239.0,1863.0,2018-02-12 00:00:00
78,3575.0,3100.0,8237.5,8075,228,322,15618,303,363.5,20550,360,312.5,4239.0,1863.0,2018-02-19 00:00:00
78,3575.0,3414.0,8237.5,8075,229,320,15976,305,369.0,20550,365,322.5,4666.0,2367.0,2018-02-26 00:00:00
79,3675.0,3414.0,8237.5,7375,230,326,16356,315,382.5,20550,370,327.5,4666.0,2367.0,2018-03-05 00:00:00
73,3675.0,3414.0,8237.5,7375,230,335,16731,325,387.5,20550,380,327.5,4666.0,2367.0,2018-03-12 00:00:00
70,3675.0,3414.0,8237.5,7375,214,335,17007,325,407.5,20550,395,335.0,4666.0,2367.0,2018-03-19 00:00:00
67,3675.0,3464.0,8237.5,7375,208,333,17211,323,407.5,20550,395,340.0,4566.0,2492.0,2018-03-26 00:00:00
64,3675.0,3464.0,8237.5,7375,196,333,17710,322,400.0,20550,397,337.5,4566.0,2492.0,2018-04-02 00:00:00
64,3685.0,3464.0,8087.5,7425,195,330,17974,317,400.0,20750,397,337.5,4566.0,2492.0,2018-04-09 00:00:00
65,3685.0,3464.0,8087.5,7425,191,329,17992,314,394.0,20750,397,337.5,4566.0,2492.0,2018-04-16 00:00:00
66,3685.0,3464.0,8087.5,7425,184,320,17939,303,389.0,20750,395,332.5,4566.0,2492.0,2018-04-23 00:00:00
67,3685.0,3511.0,8087.5,7425,177,325,17862,308,386.0,20750,390,332.5,4830.0,2680.0,2018-04-30 00:00:00
66,3350.0,3511.0,8087.5,6875,179,325,17790,314,385.0,21250,385,340.0,4830.0,2680.0,2018-05-07 00:00:00
67,3350.0,3511.0,8087.5,6875,185,325,17681,314,387.5,21250,385,340.0,4830.0,2680.0,2018-05-14 00:00:00
67,3350.0,3511.0,8087.5,6875,185,318,17703,310,390.0,21250,390,342.5,4830.0,2680.0,2018-05-21 00:00:00
64,3350.0,3241.0,8087.5,6875,184,312,17678,303,397.5,21250,390,342.5,4238.0,2021.0,2018-05-28 00:00:00
64,3350.0,3241.0,8087.5,6875,190,305,17702,295,382.5,21250,390,340.0,4238.0,2021.0,2018-06-04 00:00:00
65,3525.0,3241.0,8087.5,6675,195,312,17499,308,387.5,21250,390,342.5,4238.0,2021.0,2018-06-11 00:00:00
66,3525.0,3241.0,8087.5,6675,198,320,17479,320,397.5,21250,390,342.5,4238.0,2021.0,2018-06-18 00:00:00
64,3525.0,3241.0,8087.5,6675,198,326,17279,325,400.0,21250,393,342.5,4238.0,2021.0,2018-06-25 00:00:00
64,3525.0,3463.0,8087.5,6675,197,326,17161,324,400.0,21250,393,342.5,4492.0,1950.0,2018-07-02 00:00:00
63,3275.0,3463.0,8000.0,6925,198,323,17153,321,407.5,23000,400,342.5,4492.0,1950.0,2018-07-09 00:00:00
63,3275.0,3463.0,8000.0,6925,180,314,17428,311,412.5,23000,400,330.0,4492.0,1950.0,2018-07-16 00:00:00
64,3275.0,3463.0,8000.0,6925,177,312,17657,305,412.5,23000,395,330.0,4492.0,1950.0,2018-07-23 00:00:00
67,3275.0,3588.0,8000.0,6925,173,309,17752,298,410.0,23000,395,330.0,4828.0,2353.0,2018-07-30 00:00:00
67,3585.0,3588.0,8000.0,6950,173,305,17956,303,407.5,23000,395,327.5,4828.0,2353.0,2018-08-06 00:00:00
69,3585.0,3588.0,8000.0,6950,180,299,18143,288,402.5,23000,390,322.5,4828.0,2353.0,2018-08-13 00:00:00
68,3585.0,3588.0,8000.0,6950,182,287,18228,263,395.0,23000,380,317.5,4828.0,2353.0,2018-08-20 00:00:00
67,3585.0,3667.0,8000.0,6950,182,274,18522,279,390.0,23000,377,317.5,5202.0,2683.0,2018-08-27 00:00:00
66,3585.0,3667.0,8000.0,6950,182,285,18821,284,390.0,23000,377,320.0,5202.0,2683.0,2018-09-03 00:00:00
67,3850.0,3667.0,7950.0,6700,187,295,19185,284,387.5,23000,375,320.0,5202.0,2683.0,2018-09-10 00:00:00
69,3850.0,3667.0,7950.0,6700,199,295,19615,292,386.5,23000,373,320.0,5202.0,2683.0,2018-09-17 00:00:00
69,3850.0,3667.0,7950.0,6700,204,300,19773,292,386.5,23000,373,322.5,5202.0,2683.0,2018-09-24 00:00:00
69,3850.0,3955.0,7950.0,6700,200,296,19870,292,382.5,23000,370,322.5,5866.0,2411.0,2018-10-01 00:00:00
70,4150.0,3955.0,7950.0,6850,210,300,19853,292,380.0,23750,366,322.5,5866.0,2411.0,2018-10-08 00:00:00
71,4150.0,3955.0,7950.0,6850,211,303,19794,293,381.0,23750,365,322.5,5866.0,2411.0,2018-10-15 00:00:00
73,4150.0,3955.0,7950.0,6850,214,301,19731,295,395.0,23750,365,327.5,5866.0,2411.0,2018-10-22 00:00:00
76,4150.0,4234.0,7950.0,6850,214,303,19677,297,391.5,23750,364,335.0,6284.0,2944.0,2018-10-29 00:00:00
75,4280.0,4234.0,7950.0,7050,215,306,19243,297,390.0,22750,364,339.0,6284.0,2944.0,2018-11-05 00:00:00
75,4280.0,4234.0,7950.0,7050,216,310,18834,305,390.0,22750,364,335.0,6284.0,2944.0,2018-11-12 00:00:00
75,4280.0,4234.0,7950.0,7050,219,308,18308,306,387.5,22750,364,335.0,6284.0,2944.0,2018-11-19 00:00:00
73,4280.0,4298.0,7950.0,7050,218,304,17830,292,386.5,22750,364,327.5,6279.0,3181.0,2018-11-26 00:00:00
65,4280.0,4298.0,7950.0,7050,216,295,17333,286,382.5,22750,364,322.5,6279.0,3181.0,2018-12-03 00:00:00
67,4550.0,4298.0,7950.0,7150,222,278,16881,276,379.0,22750,360,317.5,6279.0,3181.0,2018-12-10 00:00:00
68,4550.0,4298.0,7950.0,7150,219,278,16698,275,376.5,22750,355,302.5,6279.0,3181.0,2018-12-17 00:00:00
71,4550.0,4298.0,7950.0,7150,218,271,16810,255,367.5,22750,350,300.0,6279.0,3181.0,2018-12-24 00:00:00
72,4550.0,4621.0,7950.0,7150,211,265,16899,252,366.5,22750,345,292.5,6735.0,3340.0,2018-12-31 00:00:00
72,4135.0,4621.0,7950.0,7350,203,255,16848,245,362.5,22525,345,290.0,6735.0,3340.0,2019-01-07 00:00:00
75,4135.0,4621.0,7950.0,7350,197,255,16937,235,355.0,22525,337,287.5,6735.0,3340.0,2019-01-14 00:00:00
75,4135.0,4621.0,7950.0,7350,190,270,16858,246,342.5,22525,325,280.0,6735.0,3340.0,2019-01-21 00:00:00
75,4135.0,4191.0,7950.0,7350,194,270,16927,262,345.5,22525,325,282.5,6360.0,3052.0,2019-01-28 00:00:00
83,4135.0,4191.0,7950.0,7350,200,291,17458,283,345.5,22525,325,285.0,6360.0,3052.0,2019-02-04 00:00:00
91,4565.0,4191.0,7700.0,7150,199,305,17817,290,345.0,22525,330,285.0,6360.0,3052.0,2019-02-11 00:00:00
88,4565.0,4191.0,7700.0,7150,202,303,17948,293,345.0,22525,332,280.0,6360.0,3052.0,2019-02-18 00:00:00
88,4565.0,4191.0,7700.0,7150,206,295,18686,285,357.5,22525,343,282.5,6360.0,3052.0,2019-02-25 00:00:00
