"dt","Индекс стоимости грузоперевозок"
"1970-01-01 03:00:44","1,243"
"1970-01-01 03:00:45","1,268"
"1970-01-01 03:00:45","1,235"
"1970-01-01 03:00:45","1,244"
"1970-01-01 03:00:45","1,261"
"1970-01-01 03:00:45","1,279"
"1970-01-01 03:00:45","1,290"
"1970-01-01 03:00:45","1,312"
"1970-01-01 03:00:45","1,319"
"1970-01-01 03:00:45","1,419"
"1970-01-01 03:00:45","1,422"
"1970-01-01 03:00:45","1,296"
"1970-01-01 03:00:45","1,287"
"1970-01-01 03:00:45","1,290"
"1970-01-01 03:00:45","1,299"
"1970-01-01 03:00:45","1,306"
"1970-01-01 03:00:45","1,298"
"1970-01-01 03:00:45","1,291"
"1970-01-01 03:00:45","1,314"
"1970-01-01 03:00:45","1,326"
"1970-01-01 03:00:45","1,313"
"1970-01-01 03:00:45","1,324"
"1970-01-01 03:00:45","1,339"
"1970-01-01 03:00:45","1,320"
"1970-01-01 03:00:45","1,285"
"1970-01-01 03:00:45","1,253"
"1970-01-01 03:00:45","1,237"
"1970-01-01 03:00:45","1,238"
"1970-01-01 03:00:45","1,210"
"1970-01-01 03:00:45","1,189"
"1970-01-01 03:00:45","1,153"
"1970-01-01 03:00:45","1,141"
"1970-01-01 03:00:45","1,127"
"1970-01-01 03:00:45","1,120"
"1970-01-01 03:00:45","1,111"
"1970-01-01 03:00:45","1,134"
"1970-01-01 03:00:45","1,137"
"1970-01-01 03:00:45","1,137"
"1970-01-01 03:00:45","1,170"
"1970-01-01 03:00:45","1,200"
"1970-01-01 03:00:45","1,198"
"1970-01-01 03:00:45","1,211"
"1970-01-01 03:00:45","1,230"
"1970-01-01 03:00:45","1,255"
"1970-01-01 03:00:45","1,284"
"1970-01-01 03:00:45","1,274"
"1970-01-01 03:00:45","1,266"
"1970-01-01 03:00:45","1,276"
"1970-01-01 03:00:45","1,279"
"1970-01-01 03:00:45","1,276"
"1970-01-01 03:00:45","1,268"
"1970-01-01 03:00:45","1,256"
"1970-01-01 03:00:45","1,241"
"1970-01-01 03:00:45","1,253"
"1970-01-01 03:00:45","1,241"
"1970-01-01 03:00:45","1,239"
"1970-01-01 03:00:45","1,281"
"1970-01-01 03:00:45","1,312"
"1970-01-01 03:00:45","1,342"
"1970-01-01 03:00:45","1,360"
"1970-01-01 03:00:45","1,406"
"1970-01-01 03:00:45","1,462"
"1970-01-01 03:00:45","1,475"
"1970-01-01 03:00:45","1,384"
"1970-01-01 03:00:45","1,364"
"1970-01-01 03:00:45","1,344"
"1970-01-01 03:00:45","1,331"
"1970-01-01 03:00:45","1,322"
"1970-01-01 03:00:45","1,330"
"1970-01-01 03:00:45","1,343"
"1970-01-01 03:00:45","1,372"
"1970-01-01 03:00:45","1,367"
"1970-01-01 03:00:45","1,364"
"1970-01-01 03:00:45","1,377"
"1970-01-01 03:00:45","1,406"
"1970-01-01 03:00:45","1,421"
"1970-01-01 03:00:45","1,395"
"1970-01-01 03:00:45","1,411"
"1970-01-01 03:00:45","1,430"
"1970-01-01 03:00:45","1,441"
"1970-01-01 03:00:45","1,443"
"1970-01-01 03:00:45","1,434"
"1970-01-01 03:00:45","1,452"
"1970-01-01 03:00:45","1,487"
"1970-01-01 03:00:45","1,500"
"1970-01-01 03:00:45","1,501"
